__time,/count,/rtt
1694516480.825065,5000.000000000,3036357.000000000
1694516480.841930,6000.000000000,3574966.000000000
1694516480.856444,7000.000000000,3967790.000000000
1694516480.871958,8000.000000000,1918148.000000000
1694516480.886239,9000.000000000,2164562.000000000
1694516480.902421,10000.000000000,2491185.000000000
1694516480.918296,11000.000000000,2487539.000000000
1694516480.935526,12000.000000000,2899947.000000000
1694516480.956115,13000.000000000,2873488.000000000
1694516480.974099,14000.000000000,2830413.000000000
1694516480.994541,15000.000000000,3191361.000000000
1694516481.014402,16000.000000000,3944559.000000000
1694516481.035846,17000.000000000,3054743.000000000
1694516481.058361,18000.000000000,3917422.000000000
1694516481.078085,19000.000000000,1419228.000000000
1694516481.092586,20000.000000000,1437822.000000000
1694516481.111615,21000.000000000,2344462.000000000
1694516481.133492,22000.000000000,4025916.000000000
1694516481.152305,23000.000000000,1027758.000000000
1694516481.165004,24000.000000000,763741.000000000
1694516481.178421,25000.000000000,922651.000000000
1694516481.194597,26000.000000000,1015309.000000000
1694516481.213896,27000.000000000,2576708.000000000
1694516481.234134,28000.000000000,2185239.000000000
1694516481.256486,29000.000000000,3244487.000000000
1694516481.279062,30000.000000000,3711531.000000000
1694516481.302496,31000.000000000,4233838.000000000
1694516481.324238,32000.000000000,3661322.000000000
1694516481.346249,33000.000000000,1917158.000000000
1694516481.369785,34000.000000000,3002501.000000000
1694516481.392166,35000.000000000,3239331.000000000
1694516481.415189,36000.000000000,3158495.000000000
1694516481.438339,37000.000000000,3115213.000000000
1694516481.461673,38000.000000000,3507151.000000000
1694516481.484864,39000.000000000,2227688.000000000
1694516481.504083,40000.000000000,941349.000000000
1694516481.526401,41000.000000000,3423555.000000000
1694516481.547138,42000.000000000,1877938.000000000
1694516481.568542,43000.000000000,2350399.000000000
1694516481.591916,44000.000000000,3628612.000000000
1694516481.615888,45000.000000000,3152037.000000000
1694516481.640176,46000.000000000,3156464.000000000
1694516481.664065,47000.000000000,3569444.000000000
1694516481.686858,48000.000000000,2982397.000000000
1694516481.711764,49000.000000000,3995967.000000000
1694516481.733282,50000.000000000,2094664.000000000
1694516481.756282,51000.000000000,4130710.000000000
1694516481.771446,52000.000000000,918484.000000000
1694516481.786652,53000.000000000,828222.000000000
1694516481.801953,54000.000000000,937756.000000000
1694516481.817308,55000.000000000,910359.000000000
1694516481.832638,56000.000000000,754157.000000000
1694516481.847565,57000.000000000,671185.000000000
1694516481.862997,58000.000000000,664259.000000000
1694516481.883253,59000.000000000,3582361.000000000
1694516481.902097,60000.000000000,1186044.000000000
1694516481.918521,61000.000000000,928901.000000000
1694516481.937226,62000.000000000,925099.000000000
1694516481.956931,63000.000000000,999581.000000000
1694516481.980149,64000.000000000,3451889.000000000
1694516482.001895,65000.000000000,1791582.000000000
1694516482.024655,66000.000000000,3056096.000000000
1694516482.044201,67000.000000000,857128.000000000
1694516482.066247,68000.000000000,3745125.000000000
1694516482.089288,69000.000000000,3899973.000000000
1694516482.113222,70000.000000000,2229198.000000000
1694516482.132605,71000.000000000,1462718.000000000
1694516482.157081,72000.000000000,3649550.000000000
1694516482.179857,73000.000000000,3081201.000000000
1694516482.203639,74000.000000000,3627467.000000000
1694516482.226674,75000.000000000,2500924.000000000
1694516482.250211,76000.000000000,3584600.000000000
1694516482.273619,77000.000000000,2848018.000000000
1694516482.296737,78000.000000000,3612257.000000000
1694516482.320008,79000.000000000,2630563.000000000
1694516482.341121,80000.000000000,1103177.000000000
1694516482.362762,81000.000000000,2357587.000000000
1694516482.385399,82000.000000000,2869059.000000000
1694516482.408553,83000.000000000,3091201.000000000
1694516482.432147,84000.000000000,3599757.000000000
1694516482.456057,85000.000000000,3595121.000000000
1694516482.479626,86000.000000000,2982396.000000000
1694516482.502658,87000.000000000,3556579.000000000
1694516482.528432,88000.000000000,3175578.000000000
1694516482.550310,89000.000000000,1330058.000000000
1694516482.573311,90000.000000000,3164641.000000000
1694516482.597164,91000.000000000,3063856.000000000
1694516482.621133,92000.000000000,3581007.000000000
1694516482.644304,93000.000000000,2463892.000000000
1694516482.668418,94000.000000000,3624028.000000000
1694516482.693107,95000.000000000,3647675.000000000
1694516482.716915,96000.000000000,3609653.000000000
1694516482.740133,97000.000000000,2157685.000000000
1694516482.763658,98000.000000000,3737573.000000000
1694516482.786675,99000.000000000,2379202.000000000
1694516482.810755,100000.000000000,2931093.000000000
1694516482.831654,101000.000000000,938432.000000000
1694516482.850451,102000.000000000,946662.000000000
1694516482.869777,103000.000000000,881660.000000000
1694516482.889312,104000.000000000,933276.000000000
1694516482.912141,105000.000000000,3960965.000000000
1694516482.934182,106000.000000000,3542672.000000000
1694516482.953724,107000.000000000,771292.000000000
1694516482.976679,108000.000000000,3478816.000000000
1694516483.001048,109000.000000000,3855077.000000000
1694516483.024365,110000.000000000,3799867.000000000
1694516483.048156,111000.000000000,1669025.000000000
1694516483.073385,112000.000000000,3478087.000000000
1694516483.096510,113000.000000000,2533633.000000000
1694516483.120918,114000.000000000,3777053.000000000
1694516483.143678,115000.000000000,2453058.000000000
1694516483.165541,116000.000000000,1044789.000000000
1694516483.191016,117000.000000000,1971481.000000000
1694516483.215508,118000.000000000,3731063.000000000
1694516483.241700,119000.000000000,3717885.000000000
1694516483.267160,120000.000000000,3600642.000000000
1694516483.290421,121000.000000000,3517514.000000000
1694516483.315835,122000.000000000,3635330.000000000
1694516483.338704,123000.000000000,2344149.000000000
1694516483.361271,124000.000000000,866294.000000000
1694516483.386124,125000.000000000,3722780.000000000
1694516483.410917,126000.000000000,3089950.000000000
1694516483.435434,127000.000000000,3660852.000000000
1694516483.461194,128000.000000000,3695280.000000000
1694516483.485357,129000.000000000,2965781.000000000
1694516483.510091,130000.000000000,2448006.000000000
1694516483.535104,131000.000000000,2647855.000000000
1694516483.559050,132000.000000000,2529831.000000000
1694516483.582258,133000.000000000,1361985.000000000
1694516483.608349,134000.000000000,4204044.000000000
1694516483.633565,135000.000000000,3686269.000000000
1694516483.659803,136000.000000000,3664081.000000000
1694516483.685163,137000.000000000,3638612.000000000
1694516483.711249,138000.000000000,4003518.000000000
1694516483.736882,139000.000000000,2694419.000000000
1694516483.762512,140000.000000000,2663897.000000000
1694516483.788110,141000.000000000,3959558.000000000
1694516483.816036,142000.000000000,4105395.000000000
1694516483.842209,143000.000000000,3041408.000000000
1694516483.868458,144000.000000000,3683821.000000000
1694516483.893663,145000.000000000,2558008.000000000
1694516483.917619,146000.000000000,1300369.000000000
1694516483.940794,147000.000000000,1025206.000000000
1694516483.964763,148000.000000000,1058487.000000000
1694516483.992668,149000.000000000,3553974.000000000
1694516484.018634,150000.000000000,3411313.000000000
1694516484.045692,151000.000000000,3643507.000000000
1694516484.071544,152000.000000000,3491159.000000000
1694516484.096832,153000.000000000,2495767.000000000
1694516484.123914,154000.000000000,3812835.000000000
1694516484.150204,155000.000000000,2739524.000000000
1694516484.176082,156000.000000000,2526393.000000000
1694516484.200589,157000.000000000,1385006.000000000
1694516484.228409,158000.000000000,3988465.000000000
1694516484.256099,159000.000000000,3661007.000000000
1694516484.282684,160000.000000000,3711530.000000000
1694516484.308896,161000.000000000,2328679.000000000
1694516484.335241,162000.000000000,2743274.000000000
1694516484.362686,163000.000000000,2856714.000000000
1694516484.387625,164000.000000000,957963.000000000
1694516484.414375,165000.000000000,2175810.000000000
1694516484.441887,166000.000000000,3036563.000000000
1694516484.469040,167000.000000000,2862235.000000000
1694516484.496357,168000.000000000,3794814.000000000
1694516484.523449,169000.000000000,2452120.000000000
1694516484.550060,170000.000000000,2560456.000000000
1694516484.577804,171000.000000000,2880778.000000000
1694516484.603617,172000.000000000,1567407.000000000
1694516484.632266,173000.000000000,2060702.000000000
1694516484.658704,174000.000000000,2253833.000000000
1694516484.686957,175000.000000000,3199276.000000000
1694516484.715073,176000.000000000,3774240.000000000
1694516484.741729,177000.000000000,2471235.000000000
1694516484.769688,178000.000000000,2904216.000000000
1694516484.795061,179000.000000000,1193908.000000000
1694516484.821130,180000.000000000,1433498.000000000
1694516484.849196,181000.000000000,3277768.000000000
1694516484.877509,182000.000000000,3716947.000000000
1694516484.905657,183000.000000000,2142423.000000000
1694516484.932581,184000.000000000,2727804.000000000
1694516484.959909,185000.000000000,2030180.000000000
1694516484.987471,186000.000000000,2581186.000000000
1694516485.017460,187000.000000000,4264045.000000000
1694516485.046272,188000.000000000,3589911.000000000
1694516485.074858,189000.000000000,3720644.000000000
1694516485.103321,190000.000000000,2592435.000000000
1694516485.131910,191000.000000000,3025000.000000000
1694516485.159191,192000.000000000,2076119.000000000
1694516485.187380,193000.000000000,2492798.000000000
1694516485.214290,194000.000000000,1193177.000000000
1694516485.243368,195000.000000000,3786167.000000000
1694516485.274113,196000.000000000,3890232.000000000
1694516485.302939,197000.000000000,2850256.000000000
1694516485.333364,198000.000000000,3785958.000000000
1694516485.362692,199000.000000000,2753950.000000000
1694516485.392003,200000.000000000,2571967.000000000
1694516485.419537,201000.000000000,1385318.000000000
1694516485.452066,202000.000000000,3254173.000000000
1694516485.482322,203000.000000000,3215787.000000000
1694516485.511036,204000.000000000,2716918.000000000
1694516485.540374,205000.000000000,2963487.000000000
1694516485.570682,206000.000000000,2785878.000000000
1694516485.601192,207000.000000000,3261100.000000000
1694516485.632028,208000.000000000,3964922.000000000
1694516485.661107,209000.000000000,2298729.000000000
1694516485.691998,210000.000000000,3327717.000000000
1694516485.722424,211000.000000000,3603870.000000000
1694516485.752788,212000.000000000,2991040.000000000
1694516485.782918,213000.000000000,2744054.000000000
1694516485.812823,214000.000000000,2618582.000000000
1694516485.843976,215000.000000000,4006277.000000000
1694516485.875860,216000.000000000,2719158.000000000
1694516485.905214,217000.000000000,2300917.000000000
1694516485.936091,218000.000000000,2672229.000000000
1694516485.967171,219000.000000000,2631186.000000000
1694516485.999659,220000.000000000,3504023.000000000
1694516486.028360,221000.000000000,1198750.000000000
1694516486.059613,222000.000000000,3368030.000000000
1694516486.091048,223000.000000000,3103595.000000000
1694516486.123568,224000.000000000,4100550.000000000
1694516486.154592,225000.000000000,2655041.000000000
1694516486.185324,226000.000000000,2631238.000000000
1694516486.217299,227000.000000000,3756686.000000000
1694516486.247113,228000.000000000,1679180.000000000
1694516486.279414,229000.000000000,3804916.000000000
1694516486.311574,230000.000000000,3092970.000000000
1694516486.343329,231000.000000000,2630248.000000000
1694516486.376341,232000.000000000,3145159.000000000
1694516486.407591,233000.000000000,3006353.000000000
1694516486.440709,234000.000000000,4168468.000000000
1694516486.471697,235000.000000000,2343626.000000000
1694516486.504821,236000.000000000,4270451.000000000
1694516486.538374,237000.000000000,4094247.000000000
1694516486.570014,238000.000000000,2191434.000000000
1694516486.602205,239000.000000000,2829108.000000000
1694516486.635511,240000.000000000,3350530.000000000
1694516486.667206,241000.000000000,1717463.000000000
1694516486.701101,242000.000000000,4165916.000000000
1694516486.733067,243000.000000000,2701865.000000000
1694516486.764140,244000.000000000,1203230.000000000
1694516486.794476,245000.000000000,1099060.000000000
1694516486.824787,246000.000000000,865825.000000000
1694516486.855301,247000.000000000,905877.000000000
1694516486.889609,248000.000000000,3981641.000000000
1694516486.921138,249000.000000000,1473341.000000000
1694516486.954908,250000.000000000,4104978.000000000
1694516486.989466,251000.000000000,3395583.000000000
1694516487.023615,252000.000000000,3926378.000000000
1694516487.055730,253000.000000000,1558864.000000000
1694516487.089309,254000.000000000,2774731.000000000
1694516487.122410,255000.000000000,2597538.000000000
1694516487.157576,256000.000000000,3579858.000000000
1694516487.191913,257000.000000000,3678402.000000000
1694516487.225668,258000.000000000,2907599.000000000
1694516487.257299,259000.000000000,1047287.000000000
1694516487.291972,260000.000000000,3508346.000000000
1694516487.326003,261000.000000000,3019061.000000000
1694516487.359825,262000.000000000,2976976.000000000
1694516487.393941,263000.000000000,3129533.000000000
1694516487.428878,264000.000000000,3726580.000000000
1694516487.465304,265000.000000000,4914583.000000000
1694516487.501214,266000.000000000,3586890.000000000
1694516487.535928,267000.000000000,2950049.000000000
1694516487.570596,268000.000000000,2529099.000000000
1694516487.606702,269000.000000000,3717779.000000000
1694516487.641483,270000.000000000,2788690.000000000
1694516487.674042,271000.000000000,1236771.000000000
1694516487.712992,272000.000000000,3316622.000000000
1694516487.747671,273000.000000000,2878745.000000000
1694516487.782230,274000.000000000,2780929.000000000
1694516487.815064,275000.000000000,940097.000000000
1694516487.851921,276000.000000000,3801635.000000000
1694516487.888216,277000.000000000,4415558.000000000
1694516487.925226,278000.000000000,3963618.000000000
1694516487.960134,279000.000000000,2218309.000000000
1694516487.995831,280000.000000000,3334643.000000000
1694516488.032461,281000.000000000,3511574.000000000
1694516488.068495,282000.000000000,3053019.000000000
1694516488.103584,283000.000000000,2496963.000000000
1694516488.141129,284000.000000000,3857574.000000000
1694516488.176382,285000.000000000,2467743.000000000
1694516488.212896,286000.000000000,3819812.000000000
1694516488.249143,287000.000000000,2617278.000000000
1694516488.286698,288000.000000000,4245710.000000000
1694516488.324566,289000.000000000,3536419.000000000
1694516488.361178,290000.000000000,3111772.000000000
1694516488.396730,291000.000000000,2775668.000000000
1694516488.434871,292000.000000000,3798613.000000000
1694516488.471155,293000.000000000,2797544.000000000
1694516488.509178,294000.000000000,2555454.000000000
1694516488.545566,295000.000000000,3798301.000000000
1694516488.582029,296000.000000000,2574829.000000000
1694516488.619465,297000.000000000,3689861.000000000
1694516488.658048,298000.000000000,4027682.000000000
1694516488.693811,299000.000000000,1757255.000000000
1694516488.731964,300000.000000000,3967889.000000000
1694516488.769523,301000.000000000,2774002.000000000
1694516488.808007,302000.000000000,3543293.000000000
1694516488.845002,303000.000000000,2798117.000000000
1694516488.882250,304000.000000000,3053696.000000000
1694516488.920554,305000.000000000,3452927.000000000
1694516488.959338,306000.000000000,3174065.000000000
1694516488.997602,307000.000000000,3373237.000000000
1694516489.037376,308000.000000000,3068071.000000000
1694516489.075487,309000.000000000,3641838.000000000
1694516489.112598,310000.000000000,1849340.000000000
1694516489.150340,311000.000000000,2442533.000000000
1694516489.188806,312000.000000000,2604726.000000000
1694516489.227696,313000.000000000,3592409.000000000
1694516489.266233,314000.000000000,3369903.000000000
1694516489.302434,315000.000000000,1046193.000000000
1694516489.339261,316000.000000000,1099684.000000000
1694516489.375431,317000.000000000,1411203.000000000
1694516489.413948,318000.000000000,2737542.000000000
1694516489.453568,319000.000000000,3799186.000000000
1694516489.493297,320000.000000000,3814290.000000000
1694516489.533013,321000.000000000,4143258.000000000
1694516489.571494,322000.000000000,2544151.000000000
1694516489.610776,323000.000000000,3298652.000000000
1694516489.649776,324000.000000000,3078541.000000000
1694516489.689520,325000.000000000,3228336.000000000
1694516489.727513,326000.000000000,1567405.000000000
1694516489.766234,327000.000000000,2308155.000000000
1694516489.804926,328000.000000000,2635091.000000000
1694516489.845804,329000.000000000,3397925.000000000
1694516489.886453,330000.000000000,4084194.000000000
1694516489.924645,331000.000000000,1338388.000000000
1694516489.964169,332000.000000000,2607798.000000000
1694516490.006169,333000.000000000,3433551.000000000
1694516490.046510,334000.000000000,3986065.000000000
1694516490.087651,335000.000000000,3891428.000000000
1694516490.125330,336000.000000000,1071036.000000000
1694516490.164921,337000.000000000,2360292.000000000
1694516490.205903,338000.000000000,3368236.000000000
1694516490.246971,339000.000000000,3446155.000000000
1694516490.288022,340000.000000000,3320006.000000000
1694516490.327929,341000.000000000,2838534.000000000
1694516490.368223,342000.000000000,2287581.000000000
1694516490.409640,343000.000000000,3240159.000000000
1694516490.449637,344000.000000000,2617486.000000000
1694516490.491117,345000.000000000,3837103.000000000
1694516490.533164,346000.000000000,3839030.000000000
1694516490.573413,347000.000000000,2104346.000000000
1694516490.615049,348000.000000000,3278442.000000000
1694516490.656785,349000.000000000,3777986.000000000
1694516490.699282,350000.000000000,3270785.000000000
1694516490.741942,351000.000000000,4666501.000000000
1694516490.782485,352000.000000000,2275757.000000000
1694516490.825157,353000.000000000,3299536.000000000
1694516490.865962,354000.000000000,2628893.000000000
1694516490.908047,355000.000000000,2998642.000000000
1694516490.949130,356000.000000000,2765250.000000000
1694516490.990753,357000.000000000,2123201.000000000
1694516491.031809,358000.000000000,2549515.000000000
1694516491.074238,359000.000000000,3267920.000000000
1694516491.116410,360000.000000000,2918275.000000000
1694516491.156800,361000.000000000,2109554.000000000
1694516491.199788,362000.000000000,2255965.000000000
