__time,/count,/rtt
1694517267.698661,7000.000000000,1958602.000000000
1694517267.711456,8000.000000000,2241732.000000000
1694517267.727338,9000.000000000,1364476.000000000
1694517267.745222,10000.000000000,1218276.000000000
1694517267.761762,11000.000000000,1721670.000000000
1694517267.779294,12000.000000000,1551771.000000000
1694517267.794641,13000.000000000,1196973.000000000
1694517267.812347,14000.000000000,1237703.000000000
1694517267.829141,15000.000000000,979678.000000000
1694517267.845857,16000.000000000,538836.000000000
1694517267.859320,17000.000000000,1511406.000000000
1694517267.877091,18000.000000000,1274475.000000000
1694517267.894727,19000.000000000,932021.000000000
1694517267.913271,20000.000000000,983532.000000000
1694517267.931054,21000.000000000,823946.000000000
1694517267.949106,22000.000000000,1236297.000000000
1694517267.968330,23000.000000000,1317549.000000000
1694517267.987231,24000.000000000,1227130.000000000
1694517268.006230,25000.000000000,888478.000000000
1694517268.024314,26000.000000000,1010095.000000000
1694517268.043839,27000.000000000,680506.000000000
1694517268.061862,28000.000000000,534461.000000000
1694517268.077846,29000.000000000,780924.000000000
1694517268.095726,30000.000000000,677276.000000000
1694517268.115992,31000.000000000,943948.000000000
1694517268.135650,32000.000000000,1130149.000000000
1694517268.154754,33000.000000000,1113743.000000000
1694517268.174242,34000.000000000,1017595.000000000
1694517268.192724,35000.000000000,633473.000000000
1694517268.211503,36000.000000000,675922.000000000
1694517268.231680,37000.000000000,628109.000000000
1694517268.250543,38000.000000000,535243.000000000
1694517268.268774,39000.000000000,540295.000000000
1694517268.286804,40000.000000000,632848.000000000
1694517268.305542,41000.000000000,532795.000000000
1694517268.324016,42000.000000000,523784.000000000
1694517268.343888,43000.000000000,1086399.000000000
1694517268.362461,44000.000000000,1110357.000000000
1694517268.381179,45000.000000000,817644.000000000
1694517268.400826,46000.000000000,526440.000000000
1694517268.420211,47000.000000000,526076.000000000
1694517268.440069,48000.000000000,2213711.000000000
1694517268.458714,49000.000000000,945667.000000000
1694517268.477878,50000.000000000,1384216.000000000
1694517268.496730,51000.000000000,825508.000000000
1694517268.515077,52000.000000000,427325.000000000
1694517268.534511,53000.000000000,459773.000000000
1694517268.552767,54000.000000000,483628.000000000
1694517268.572734,55000.000000000,906812.000000000
1694517268.592021,56000.000000000,961917.000000000
1694517268.611458,57000.000000000,474981.000000000
1694517268.626923,58000.000000000,424147.000000000
1694517268.642512,59000.000000000,422844.000000000
1694517268.657947,60000.000000000,468001.000000000
1694517268.672656,61000.000000000,367427.000000000
1694517268.688499,62000.000000000,353521.000000000
1694517268.704196,63000.000000000,303623.000000000
1694517268.719554,64000.000000000,343052.000000000
1694517268.749126,65000.000000000,3139821.000000000
1694517268.756999,66000.000000000,494930.000000000
1694517268.775509,67000.000000000,457741.000000000
1694517268.794046,68000.000000000,440033.000000000
1694517268.812393,69000.000000000,462377.000000000
1694517268.831190,70000.000000000,376021.000000000
1694517268.849876,71000.000000000,385760.000000000
1694517268.870426,72000.000000000,1643597.000000000
1694517268.889087,73000.000000000,454512.000000000
1694517268.907938,74000.000000000,357323.000000000
1694517268.926427,75000.000000000,350188.000000000
1694517268.945949,76000.000000000,1400884.000000000
1694517268.965657,77000.000000000,852696.000000000
1694517268.984916,78000.000000000,351177.000000000
1694517269.004448,79000.000000000,348885.000000000
1694517269.023253,80000.000000000,361177.000000000
1694517269.042780,81000.000000000,348989.000000000
1694517269.062353,82000.000000000,346073.000000000
1694517269.082300,83000.000000000,999053.000000000
1694517269.101843,84000.000000000,869936.000000000
1694517269.120634,85000.000000000,340239.000000000
1694517269.139844,86000.000000000,741965.000000000
1694517269.159803,87000.000000000,865925.000000000
1694517269.179189,88000.000000000,806654.000000000
1694517269.198510,89000.000000000,326124.000000000
1694517269.217884,90000.000000000,324093.000000000
1694517269.237381,91000.000000000,319249.000000000
1694517269.256243,92000.000000000,327739.000000000
1694517269.277182,93000.000000000,1121764.000000000
1694517269.296618,94000.000000000,419772.000000000
1694517269.317222,95000.000000000,798216.000000000
1694517269.336494,96000.000000000,328988.000000000
1694517269.357598,97000.000000000,1675055.000000000
1694517269.378656,98000.000000000,824675.000000000
1694517269.398221,99000.000000000,728319.000000000
1694517269.418939,100000.000000000,789154.000000000
1694517269.438901,101000.000000000,587743.000000000
1694517269.458670,102000.000000000,605087.000000000
1694517269.478512,103000.000000000,632953.000000000
1694517269.500449,104000.000000000,416803.000000000
1694517269.518559,105000.000000000,418522.000000000
1694517269.538246,106000.000000000,694308.000000000
1694517269.558648,107000.000000000,595087.000000000
1694517269.578926,108000.000000000,567326.000000000
1694517269.600510,109000.000000000,667329.000000000
1694517269.620160,110000.000000000,806341.000000000
1694517269.641121,111000.000000000,862905.000000000
1694517269.661597,112000.000000000,560139.000000000
1694517269.681716,113000.000000000,451648.000000000
1694517269.701447,114000.000000000,344198.000000000
1694517269.721870,115000.000000000,352896.000000000
1694517269.742007,116000.000000000,360917.000000000
1694517269.761829,117000.000000000,438314.000000000
1694517269.782543,118000.000000000,438106.000000000
1694517269.803523,119000.000000000,593369.000000000
1694517269.824366,120000.000000000,692121.000000000
1694517269.845669,121000.000000000,573837.000000000
1694517269.866702,122000.000000000,725194.000000000
1694517269.887942,123000.000000000,606858.000000000
1694517269.909124,124000.000000000,409355.000000000
1694517269.930292,125000.000000000,1073169.000000000
1694517269.951498,126000.000000000,687121.000000000
1694517269.973739,127000.000000000,660557.000000000
1694517269.995154,128000.000000000,720767.000000000
1694517270.016341,129000.000000000,876967.000000000
1694517270.038189,130000.000000000,452846.000000000
1694517270.059600,131000.000000000,405188.000000000
1694517270.081358,132000.000000000,464460.000000000
1694517270.102341,133000.000000000,334250.000000000
1694517270.123630,134000.000000000,359562.000000000
1694517270.145135,135000.000000000,332478.000000000
1694517270.166629,136000.000000000,375812.000000000
1694517270.188086,137000.000000000,309926.000000000
1694517270.209794,138000.000000000,396751.000000000
1694517270.232386,139000.000000000,687016.000000000
1694517270.254723,140000.000000000,546961.000000000
1694517270.275786,141000.000000000,306228.000000000
1694517270.299118,142000.000000000,818945.000000000
1694517270.320841,143000.000000000,499044.000000000
1694517270.343744,144000.000000000,795559.000000000
1694517270.366809,145000.000000000,732382.000000000
1694517270.389629,146000.000000000,829935.000000000
1694517270.413323,147000.000000000,837228.000000000
1694517270.437523,148000.000000000,798320.000000000
1694517270.459936,149000.000000000,309822.000000000
1694517270.483376,150000.000000000,828321.000000000
1694517270.506746,151000.000000000,632588.000000000
1694517270.529784,152000.000000000,443418.000000000
1694517270.552802,153000.000000000,914416.000000000
1694517270.576393,154000.000000000,719257.000000000
1694517270.600256,155000.000000000,308937.000000000
1694517270.623854,156000.000000000,699933.000000000
1694517270.646627,157000.000000000,322530.000000000
1694517270.669791,158000.000000000,673944.000000000
1694517270.694257,159000.000000000,721809.000000000
1694517270.718254,160000.000000000,863582.000000000
1694517270.741559,161000.000000000,478471.000000000
1694517270.766354,162000.000000000,723787.000000000
1694517270.790159,163000.000000000,680610.000000000
1694517270.813972,164000.000000000,605348.000000000
1694517270.838907,165000.000000000,781029.000000000
1694517270.862553,166000.000000000,647276.000000000
1694517270.887208,167000.000000000,666756.000000000
1694517270.911821,168000.000000000,393886.000000000
1694517270.936560,169000.000000000,404407.000000000
1694517270.959712,170000.000000000,483627.000000000
1694517270.984774,171000.000000000,684360.000000000
1694517271.010357,172000.000000000,598161.000000000
1694517271.034635,173000.000000000,307947.000000000
1694517271.059127,174000.000000000,655505.000000000
1694517271.085066,175000.000000000,829466.000000000
1694517271.109612,176000.000000000,393053.000000000
1694517271.134628,177000.000000000,395552.000000000
1694517271.159501,178000.000000000,424303.000000000
1694517271.184115,179000.000000000,445449.000000000
1694517271.209561,180000.000000000,640609.000000000
1694517271.235359,181000.000000000,568160.000000000
1694517271.259686,182000.000000000,308207.000000000
1694517271.285306,183000.000000000,307947.000000000
1694517271.311711,184000.000000000,676756.000000000
1694517271.337141,185000.000000000,404771.000000000
1694517271.363339,186000.000000000,869676.000000000
1694517271.389863,187000.000000000,768112.000000000
1694517271.414920,188000.000000000,458992.000000000
1694517271.441410,189000.000000000,421803.000000000
1694517271.467639,190000.000000000,406074.000000000
1694517271.494186,191000.000000000,327166.000000000
1694517271.519975,192000.000000000,311332.000000000
1694517271.545862,193000.000000000,373469.000000000
1694517271.572183,194000.000000000,414147.000000000
1694517271.598383,195000.000000000,315968.000000000
1694517271.625121,196000.000000000,321489.000000000
1694517271.651895,197000.000000000,734986.000000000
1694517271.678479,198000.000000000,315707.000000000
