__time,/count,/rtt
1694516195.525941,2000.000000000,918087.000000000
1694516195.526091,3000.000000000,1010173.000000000
1694516195.526296,4000.000000000,419434.000000000
1694516195.540303,5000.000000000,3027287.000000000
1694516195.551636,6000.000000000,539696.000000000
1694516195.566637,7000.000000000,3152133.000000000
1694516195.578635,8000.000000000,607458.000000000
1694516195.593193,9000.000000000,3357553.000000000
1694516195.609134,10000.000000000,2667386.000000000
1694516195.622164,11000.000000000,505060.000000000
1694516195.638034,12000.000000000,2554520.000000000
1694516195.654121,13000.000000000,2287745.000000000
1694516195.671141,14000.000000000,2486966.000000000
1694516195.685977,15000.000000000,973609.000000000
1694516195.701498,16000.000000000,1313980.000000000
1694516195.716725,17000.000000000,387402.000000000
1694516195.733590,18000.000000000,1399710.000000000
1694516195.749460,19000.000000000,354797.000000000
1694516195.763985,20000.000000000,369537.000000000
1694516195.780381,21000.000000000,486154.000000000
1694516195.792431,22000.000000000,378652.000000000
1694516195.808676,23000.000000000,1053767.000000000
1694516195.824073,24000.000000000,354537.000000000
1694516195.841128,25000.000000000,459487.000000000
1694516195.856612,26000.000000000,468601.000000000
1694516195.874332,27000.000000000,347454.000000000
1694516195.892291,28000.000000000,433288.000000000
1694516195.910558,29000.000000000,338390.000000000
1694516195.929061,30000.000000000,318807.000000000
1694516195.946902,31000.000000000,337297.000000000
1694516195.965504,32000.000000000,298286.000000000
1694516195.983876,33000.000000000,351621.000000000
1694516196.001373,34000.000000000,286306.000000000
1694516196.016015,35000.000000000,440372.000000000
1694516196.033550,36000.000000000,269067.000000000
1694516196.052135,37000.000000000,270369.000000000
1694516196.071172,38000.000000000,278547.000000000
1694516196.090775,39000.000000000,266931.000000000
1694516196.109222,40000.000000000,264328.000000000
1694516196.128213,41000.000000000,317193.000000000
1694516196.147101,42000.000000000,262608.000000000
1694516196.166110,43000.000000000,214066.000000000
1694516196.184039,44000.000000000,295265.000000000
1694516196.203422,45000.000000000,245577.000000000
1694516196.217521,46000.000000000,277452.000000000
1694516196.235170,47000.000000000,201045.000000000
1694516196.251513,48000.000000000,301984.000000000
1694516196.269586,49000.000000000,189742.000000000
1694516196.288841,50000.000000000,184378.000000000
1694516196.308071,51000.000000000,208753.000000000
1694516196.326607,52000.000000000,180107.000000000
1694516196.345215,53000.000000000,244274.000000000
1694516196.364339,54000.000000000,227816.000000000
1694516196.383110,55000.000000000,190576.000000000
1694516196.401950,56000.000000000,183805.000000000
1694516196.420893,57000.000000000,226827.000000000
1694516196.439433,58000.000000000,194118.000000000
1694516196.458017,59000.000000000,194535.000000000
1694516196.476930,60000.000000000,179690.000000000
1694516196.495972,61000.000000000,202712.000000000
1694516196.514968,62000.000000000,182763.000000000
1694516196.534036,63000.000000000,183076.000000000
1694516196.552758,64000.000000000,200785.000000000
1694516196.571898,65000.000000000,181513.000000000
1694516196.591349,66000.000000000,191461.000000000
1694516196.611278,67000.000000000,238337.000000000
1694516196.629875,68000.000000000,273963.000000000
1694516196.649089,69000.000000000,262504.000000000
1694516196.666794,70000.000000000,275733.000000000
1694516196.682892,71000.000000000,268285.000000000
1694516196.698982,72000.000000000,203909.000000000
1694516196.715442,73000.000000000,203284.000000000
1694516196.732168,74000.000000000,248597.000000000
1694516196.748259,75000.000000000,206305.000000000
1694516196.764200,76000.000000000,215159.000000000
1694516196.781113,77000.000000000,185159.000000000
1694516196.797741,78000.000000000,186045.000000000
1694516196.816989,79000.000000000,190993.000000000
1694516196.835095,80000.000000000,208284.000000000
1694516196.853535,81000.000000000,181566.000000000
1694516196.872392,82000.000000000,229014.000000000
1694516196.889585,83000.000000000,235629.000000000
1694516196.907284,84000.000000000,243129.000000000
1694516196.924474,85000.000000000,229378.000000000
1694516196.941484,86000.000000000,227243.000000000
1694516196.959509,87000.000000000,227400.000000000
1694516196.976463,88000.000000000,227712.000000000
1694516196.993897,89000.000000000,203909.000000000
