__time,/count,/rtt
1694516023.595445,2000.000000000,3597936.000000000
1694516023.600816,3000.000000000,3461319.000000000
1694516023.614886,4000.000000000,3288399.000000000
1694516023.628790,5000.000000000,3224700.000000000
1694516023.642968,6000.000000000,3161938.000000000
1694516023.654690,7000.000000000,551990.000000000
1694516023.669274,8000.000000000,3225741.000000000
1694516023.684022,9000.000000000,3458923.000000000
1694516023.700038,10000.000000000,3504705.000000000
1694516023.711961,11000.000000000,471624.000000000
1694516023.725003,12000.000000000,1909256.000000000
1694516023.738602,13000.000000000,2010300.000000000
1694516023.751670,14000.000000000,2129105.000000000
1694516023.763954,15000.000000000,406414.000000000
1694516023.777116,16000.000000000,1510238.000000000
1694516023.791480,17000.000000000,1593521.000000000
1694516023.803094,18000.000000000,338809.000000000
1694516023.815532,19000.000000000,270891.000000000
1694516023.829131,20000.000000000,1108303.000000000
1694516023.842200,21000.000000000,1006583.000000000
1694516023.855119,22000.000000000,1042156.000000000
1694516023.867078,23000.000000000,216879.000000000
1694516023.881216,24000.000000000,1330964.000000000
1694516023.894250,25000.000000000,250891.000000000
1694516023.908496,26000.000000000,285214.000000000
1694516023.923372,27000.000000000,921424.000000000
1694516023.936295,28000.000000000,289433.000000000
1694516023.950441,29000.000000000,293860.000000000
1694516023.965006,30000.000000000,330840.000000000
1694516023.980351,31000.000000000,301047.000000000
1694516023.995239,32000.000000000,248807.000000000
1694516024.009972,33000.000000000,340424.000000000
1694516024.024091,34000.000000000,303600.000000000
1694516024.039441,35000.000000000,312975.000000000
1694516024.054976,36000.000000000,417196.000000000
1694516024.071519,37000.000000000,296360.000000000
1694516024.089727,38000.000000000,319798.000000000
1694516024.103208,39000.000000000,276672.000000000
1694516024.120051,40000.000000000,280474.000000000
1694516024.136499,41000.000000000,311048.000000000
1694516024.153827,42000.000000000,342767.000000000
1694516024.171245,43000.000000000,381257.000000000
1694516024.188456,44000.000000000,282037.000000000
1694516024.205594,45000.000000000,348340.000000000
1694516024.223959,46000.000000000,310370.000000000
1694516024.242731,47000.000000000,364591.000000000
1694516024.257557,48000.000000000,331777.000000000
1694516024.271643,49000.000000000,275214.000000000
1694516024.287825,50000.000000000,260631.000000000
1694516024.305397,51000.000000000,262036.000000000
1694516024.323165,52000.000000000,379175.000000000
1694516024.340590,53000.000000000,283391.000000000
1694516024.356112,54000.000000000,302922.000000000
1694516024.373096,55000.000000000,256985.000000000
1694516024.390613,56000.000000000,316464.000000000
1694516024.408511,57000.000000000,243703.000000000
1694516024.427717,58000.000000000,284642.000000000
1694516024.446131,59000.000000000,256046.000000000
1694516024.464810,60000.000000000,261099.000000000
1694516024.483169,61000.000000000,302090.000000000
1694516024.498039,62000.000000000,319433.000000000
1694516024.514837,63000.000000000,268079.000000000
1694516024.532192,64000.000000000,263859.000000000
1694516024.550929,65000.000000000,309486.000000000
1694516024.567529,66000.000000000,306152.000000000
1694516024.585275,67000.000000000,262661.000000000
1694516024.603938,68000.000000000,276099.000000000
1694516024.622679,69000.000000000,236672.000000000
1694516024.641344,70000.000000000,268130.000000000
1694516024.658803,71000.000000000,274850.000000000
1694516024.678586,72000.000000000,255526.000000000
1694516024.696718,73000.000000000,245578.000000000
1694516024.715834,74000.000000000,267765.000000000
1694516024.735778,75000.000000000,269329.000000000
1694516024.754931,76000.000000000,308079.000000000
1694516024.775102,77000.000000000,266672.000000000
1694516024.793862,78000.000000000,279954.000000000
1694516024.813024,79000.000000000,238807.000000000
1694516024.832171,80000.000000000,326569.000000000
1694516024.849102,81000.000000000,272609.000000000
1694516024.867585,82000.000000000,269329.000000000
1694516024.887002,83000.000000000,249172.000000000
1694516024.906430,84000.000000000,222087.000000000
1694516024.926096,85000.000000000,226098.000000000
1694516024.945733,86000.000000000,246046.000000000
1694516024.964197,87000.000000000,238130.000000000
1694516024.983629,88000.000000000,222557.000000000
1694516025.003173,89000.000000000,231515.000000000
1694516025.022248,90000.000000000,255057.000000000
1694516025.041515,91000.000000000,192400.000000000
1694516025.061317,92000.000000000,222036.000000000
1694516025.080527,93000.000000000,190681.000000000
1694516025.100400,94000.000000000,222713.000000000
1694516025.120183,95000.000000000,201619.000000000
1694516025.140685,96000.000000000,248443.000000000
1694516025.159798,97000.000000000,217140.000000000
1694516025.179439,98000.000000000,266724.000000000
1694516025.199966,99000.000000000,212400.000000000
1694516025.220123,100000.000000000,243807.000000000
1694516025.240281,101000.000000000,213233.000000000
1694516025.259963,102000.000000000,228025.000000000
1694516025.279519,103000.000000000,236515.000000000
1694516025.299571,104000.000000000,239849.000000000
1694516025.319579,105000.000000000,214015.000000000
1694516025.339318,106000.000000000,239848.000000000
1694516025.358513,107000.000000000,187869.000000000
1694516025.378848,108000.000000000,259901.000000000
1694516025.397932,109000.000000000,261984.000000000
1694516025.418132,110000.000000000,235994.000000000
1694516025.437819,111000.000000000,231827.000000000
1694516025.458121,112000.000000000,227712.000000000
1694516025.478397,113000.000000000,238494.000000000
1694516025.498625,114000.000000000,228285.000000000
1694516025.518826,115000.000000000,225421.000000000
1694516025.538877,116000.000000000,238234.000000000
1694516025.559570,117000.000000000,207244.000000000
1694516025.579762,118000.000000000,235369.000000000
1694516025.599631,119000.000000000,253078.000000000
1694516025.620673,120000.000000000,235265.000000000
1694516025.641282,121000.000000000,219379.000000000
1694516025.661977,122000.000000000,226828.000000000
1694516025.681994,123000.000000000,264589.000000000
1694516025.703476,124000.000000000,267297.000000000
1694516025.723789,125000.000000000,229744.000000000
1694516025.744289,126000.000000000,236775.000000000
1694516025.765329,127000.000000000,242609.000000000
1694516025.786392,128000.000000000,368184.000000000
1694516025.806733,129000.000000000,249849.000000000
1694516025.828136,130000.000000000,249588.000000000
1694516025.848486,131000.000000000,220056.000000000
1694516025.869863,132000.000000000,233650.000000000
1694516025.891063,133000.000000000,253182.000000000
1694516025.912733,134000.000000000,287506.000000000
1694516025.934008,135000.000000000,422248.000000000
1694516025.955007,136000.000000000,325527.000000000
1694516025.976995,137000.000000000,214431.000000000
1694516025.998509,138000.000000000,322975.000000000
1694516026.019935,139000.000000000,393914.000000000
1694516026.041464,140000.000000000,300423.000000000
1694516026.063341,141000.000000000,257036.000000000
1694516026.085378,142000.000000000,310891.000000000
1694516026.107524,143000.000000000,430061.000000000
1694516026.130845,144000.000000000,1015228.000000000
1694516026.153573,145000.000000000,258756.000000000
1694516026.176262,146000.000000000,309017.000000000
1694516026.198314,147000.000000000,480322.000000000
1694516026.220818,148000.000000000,342559.000000000
1694516026.242959,149000.000000000,226672.000000000
1694516026.265350,150000.000000000,313548.000000000
1694516026.288046,151000.000000000,290370.000000000
1694516026.310647,152000.000000000,478707.000000000
1694516026.333485,153000.000000000,387612.000000000
1694516026.355809,154000.000000000,328652.000000000
1694516026.378630,155000.000000000,266880.000000000
1694516026.401802,156000.000000000,354330.000000000
1694516026.424408,157000.000000000,239067.000000000
1694516026.447302,158000.000000000,287714.000000000
1694516026.470591,159000.000000000,266047.000000000
1694516026.493427,160000.000000000,454488.000000000
1694516026.516690,161000.000000000,399643.000000000
1694516026.540216,162000.000000000,308808.000000000
1694516026.563660,163000.000000000,271255.000000000
1694516026.587020,164000.000000000,311204.000000000
1694516026.610852,165000.000000000,257297.000000000
1694516026.634385,166000.000000000,310475.000000000
1694516026.657617,167000.000000000,263234.000000000
1694516026.682709,168000.000000000,838194.000000000
1694516026.707500,169000.000000000,596470.000000000
1694516026.731142,170000.000000000,300683.000000000
1694516026.755536,171000.000000000,361414.000000000
1694516026.779453,172000.000000000,318965.000000000
1694516026.803596,173000.000000000,235942.000000000
1694516026.827793,174000.000000000,316412.000000000
1694516026.851952,175000.000000000,273703.000000000
1694516026.876589,176000.000000000,472822.000000000
1694516026.901117,177000.000000000,288235.000000000
1694516026.925517,178000.000000000,257766.000000000
1694516026.950377,179000.000000000,292974.000000000
1694516026.976073,180000.000000000,480218.000000000
1694516027.000617,181000.000000000,297142.000000000
1694516027.025569,182000.000000000,256724.000000000
1694516027.050699,183000.000000000,262922.000000000
1694516027.076138,184000.000000000,561834.000000000
1694516027.100640,185000.000000000,275475.000000000
1694516027.126149,186000.000000000,254901.000000000
1694516027.150961,187000.000000000,276568.000000000
