__time,/count,/rtt
1694517101.585200,2000.000000000,703867.000000000
1694517101.597694,3000.000000000,898298.000000000
1694517101.609369,4000.000000000,912413.000000000
1694517101.622156,5000.000000000,718190.000000000
1694517101.634694,6000.000000000,840537.000000000
1694517101.647032,7000.000000000,635741.000000000
1694517101.659552,8000.000000000,7553.000000000
1694517101.672953,9000.000000000,17760.000000000
1694517101.687327,10000.000000000,12969.000000000
1694517101.702550,11000.000000000,11615.000000000
1694517101.714282,12000.000000000,4896.000000000
1694517101.729288,13000.000000000,21563.000000000
1694517101.743918,14000.000000000,12917.000000000
1694517101.758572,15000.000000000,18802.000000000
1694517101.774020,16000.000000000,19324.000000000
1694517101.790356,17000.000000000,21458.000000000
1694517101.806643,18000.000000000,4792.000000000
1694517101.822574,19000.000000000,20104.000000000
1694517101.839379,20000.000000000,20937.000000000
1694517101.853574,21000.000000000,6823.000000000
1694517101.868737,22000.000000000,5625.000000000
1694517101.885094,23000.000000000,4323.000000000
1694517101.902603,24000.000000000,5885.000000000
1694517101.918320,25000.000000000,4531.000000000
1694517101.933270,26000.000000000,17083.000000000
1694517101.950133,27000.000000000,5208.000000000
1694517101.966067,28000.000000000,4844.000000000
1694517101.983231,29000.000000000,4062.000000000
1694517102.000937,30000.000000000,3073.000000000
1694517102.018809,31000.000000000,3854.000000000
1694517102.037675,32000.000000000,4375.000000000
1694517102.055685,33000.000000000,3281.000000000
1694517102.074996,34000.000000000,2916.000000000
1694517102.093422,35000.000000000,3229.000000000
1694517102.112854,36000.000000000,3021.000000000
1694517102.131482,37000.000000000,3646.000000000
1694517102.145457,38000.000000000,5260.000000000
1694517102.162229,39000.000000000,4740.000000000
1694517102.179119,40000.000000000,3021.000000000
1694517102.197771,41000.000000000,3177.000000000
1694517102.215704,42000.000000000,3177.000000000
1694517102.233868,43000.000000000,4114.000000000
1694517102.252300,44000.000000000,2865.000000000
1694517102.271485,45000.000000000,3594.000000000
1694517102.290604,46000.000000000,3698.000000000
1694517102.309588,47000.000000000,3229.000000000
1694517102.328031,48000.000000000,2969.000000000
1694517102.346205,49000.000000000,4010.000000000
1694517102.362440,50000.000000000,3698.000000000
1694517102.377148,51000.000000000,3802.000000000
1694517102.391126,52000.000000000,3646.000000000
1694517102.405816,53000.000000000,3490.000000000
1694517102.420564,54000.000000000,3593.000000000
1694517102.434976,55000.000000000,3802.000000000
1694517102.449836,56000.000000000,3542.000000000
1694517102.464645,57000.000000000,7553.000000000
1694517102.479374,58000.000000000,2761.000000000
1694517102.495201,59000.000000000,2344.000000000
1694517102.510930,60000.000000000,2552.000000000
1694517102.528237,61000.000000000,2969.000000000
1694517102.546162,62000.000000000,3802.000000000
1694517102.562617,63000.000000000,3854.000000000
1694517102.580872,64000.000000000,3386.000000000
1694517102.599064,65000.000000000,2709.000000000
1694517102.618472,66000.000000000,2500.000000000
1694517102.636059,67000.000000000,2188.000000000
1694517102.653489,68000.000000000,2968.000000000
1694517102.670344,69000.000000000,3542.000000000
1694517102.686960,70000.000000000,3958.000000000
1694517102.702889,71000.000000000,4115.000000000
1694517102.718802,72000.000000000,3594.000000000
1694517102.735278,73000.000000000,4063.000000000
1694517102.751438,74000.000000000,4115.000000000
1694517102.767785,75000.000000000,4010.000000000
1694517102.784618,76000.000000000,3594.000000000
1694517102.801213,77000.000000000,3021.000000000
1694517102.817256,78000.000000000,3542.000000000
1694517102.834195,79000.000000000,3385.000000000
1694517102.851781,80000.000000000,3438.000000000
1694517102.869469,81000.000000000,3230.000000000
1694517102.887883,82000.000000000,3958.000000000
1694517102.906631,83000.000000000,3229.000000000
1694517102.925776,84000.000000000,3125.000000000
1694517102.944416,85000.000000000,2917.000000000
1694517102.963520,86000.000000000,3698.000000000
1694517102.982634,87000.000000000,3437.000000000
1694517103.002588,88000.000000000,3333.000000000
1694517103.021214,89000.000000000,2969.000000000
1694517103.041334,90000.000000000,2448.000000000
1694517103.059669,91000.000000000,2604.000000000
1694517103.079236,92000.000000000,3334.000000000
1694517103.098715,93000.000000000,3750.000000000
1694517103.118429,94000.000000000,3229.000000000
1694517103.137944,95000.000000000,3073.000000000
1694517103.157784,96000.000000000,3229.000000000
1694517103.177118,97000.000000000,3490.000000000
1694517103.196420,98000.000000000,4011.000000000
1694517103.215750,99000.000000000,3594.000000000
1694517103.235252,100000.000000000,3386.000000000
1694517103.254926,101000.000000000,3230.000000000
1694517103.274340,102000.000000000,2865.000000000
1694517103.294181,103000.000000000,3281.000000000
1694517103.314316,104000.000000000,3333.000000000
1694517103.333854,105000.000000000,3021.000000000
1694517103.354433,106000.000000000,3906.000000000
1694517103.374234,107000.000000000,7761.000000000
1694517103.393045,108000.000000000,3802.000000000
1694517103.412811,109000.000000000,3177.000000000
1694517103.432657,110000.000000000,3386.000000000
1694517103.453256,111000.000000000,4271.000000000
1694517103.472211,112000.000000000,3593.000000000
1694517103.492341,113000.000000000,4062.000000000
1694517103.512183,114000.000000000,3230.000000000
1694517103.532393,115000.000000000,3594.000000000
1694517103.552145,116000.000000000,2916.000000000
1694517103.572277,117000.000000000,3334.000000000
1694517103.592199,118000.000000000,3750.000000000
1694517103.613162,119000.000000000,3854.000000000
1694517103.633007,120000.000000000,3334.000000000
1694517103.654097,121000.000000000,3073.000000000
1694517103.674434,122000.000000000,3385.000000000
1694517103.694773,123000.000000000,3281.000000000
