__time,/count,/rtt
1694516926.786995,2000.000000000,866944.000000000
1694516926.801144,3000.000000000,2889796.000000000
1694516926.811250,4000.000000000,274120.000000000
1694516926.824730,5000.000000000,2774898.000000000
1694516926.838696,6000.000000000,2753699.000000000
1694516926.852543,7000.000000000,2777971.000000000
1694516926.866680,8000.000000000,2816409.000000000
1694516926.878834,9000.000000000,497250.000000000
1694516926.892718,10000.000000000,1859151.000000000
1694516926.906008,11000.000000000,8906.000000000
1694516926.918442,12000.000000000,4740.000000000
1694516926.932226,13000.000000000,22083.000000000
1694516926.946396,14000.000000000,20938.000000000
1694516926.959696,15000.000000000,5573.000000000
1694516926.973671,16000.000000000,15886.000000000
1694516926.988822,17000.000000000,18229.000000000
1694516927.003730,18000.000000000,23437.000000000
1694516927.018206,19000.000000000,16302.000000000
1694516927.032366,20000.000000000,5000.000000000
1694516927.047915,21000.000000000,13854.000000000
1694516927.064244,22000.000000000,14479.000000000
1694516927.080174,23000.000000000,15677.000000000
1694516927.096093,24000.000000000,15209.000000000
1694516927.111995,25000.000000000,5677.000000000
1694516927.125444,26000.000000000,4739.000000000
1694516927.140076,27000.000000000,16511.000000000
1694516927.155603,28000.000000000,5052.000000000
1694516927.172709,29000.000000000,4791.000000000
1694516927.186698,30000.000000000,3906.000000000
1694516927.202581,31000.000000000,3489.000000000
1694516927.219329,32000.000000000,4428.000000000
1694516927.236190,33000.000000000,3073.000000000
1694516927.253079,34000.000000000,5312.000000000
1694516927.271523,35000.000000000,3698.000000000
1694516927.288512,36000.000000000,4895.000000000
1694516927.305986,37000.000000000,3230.000000000
1694516927.320002,38000.000000000,3906.000000000
1694516927.333123,39000.000000000,3750.000000000
1694516927.347254,40000.000000000,3438.000000000
1694516927.360982,41000.000000000,3386.000000000
1694516927.375439,42000.000000000,3802.000000000
1694516927.388880,43000.000000000,3854.000000000
1694516927.402215,44000.000000000,4062.000000000
1694516927.416062,45000.000000000,3646.000000000
1694516927.430372,46000.000000000,2917.000000000
1694516927.443731,47000.000000000,2657.000000000
1694516927.458380,48000.000000000,2552.000000000
1694516927.474499,49000.000000000,3229.000000000
1694516927.490996,50000.000000000,3646.000000000
1694516927.507411,51000.000000000,3386.000000000
1694516927.526939,52000.000000000,3177.000000000
1694516927.540805,53000.000000000,3281.000000000
1694516927.557275,54000.000000000,3073.000000000
1694516927.575406,55000.000000000,3646.000000000
1694516927.593641,56000.000000000,3386.000000000
1694516927.611877,57000.000000000,3386.000000000
1694516927.629525,58000.000000000,3907.000000000
