__time,/time/dim,/time/time
1694523203.881877,6000.000000000,906688.000000000
1694523203.892101,7000.000000000,930959.000000000
1694523203.901925,8000.000000000,806426.000000000
1694523203.911351,9000.000000000,794654.000000000
1694523203.922328,10000.000000000,1282010.000000000
1694523203.931618,11000.000000000,946950.000000000
1694523203.941913,12000.000000000,766737.000000000
1694523203.952383,13000.000000000,772622.000000000
1694523203.962997,14000.000000000,817155.000000000
1694523203.972667,15000.000000000,840593.000000000
1694523203.983121,16000.000000000,889188.000000000
1694523203.993977,17000.000000000,813613.000000000
1694523204.003098,18000.000000000,903616.000000000
1694523204.014903,19000.000000000,814342.000000000
1694523204.024380,20000.000000000,1029816.000000000
1694523204.033088,21000.000000000,844239.000000000
1694523204.044714,22000.000000000,903459.000000000
1694523204.053656,23000.000000000,951690.000000000
1694523204.064330,24000.000000000,985597.000000000
1694523204.074008,25000.000000000,982784.000000000
1694523204.084757,26000.000000000,840645.000000000
1694523204.095210,27000.000000000,925595.000000000
1694523204.104731,28000.000000000,893042.000000000
1694523204.114355,29000.000000000,922626.000000000
1694523204.124695,30000.000000000,922262.000000000
1694523204.134716,31000.000000000,1047785.000000000
1694523204.145454,32000.000000000,918147.000000000
1694523204.155581,33000.000000000,920543.000000000
1694523204.164862,34000.000000000,881011.000000000
1694523204.174426,35000.000000000,988722.000000000
1694523204.185338,36000.000000000,893824.000000000
1694523204.195700,37000.000000000,987107.000000000
1694523204.205541,38000.000000000,956950.000000000
1694523204.215349,39000.000000000,983357.000000000
1694523204.225520,40000.000000000,938616.000000000
1694523204.235706,41000.000000000,967263.000000000
1694523204.246226,42000.000000000,920907.000000000
1694523204.263999,43000.000000000,1054973.000000000
1694523204.265656,44000.000000000,922990.000000000
1694523204.279943,45000.000000000,996743.000000000
1694523204.286504,46000.000000000,920074.000000000
1694523204.297159,47000.000000000,1209717.000000000
1694523204.306151,48000.000000000,935908.000000000
1694523204.316797,49000.000000000,958044.000000000
1694523204.326315,50000.000000000,975075.000000000
1694523204.336966,51000.000000000,1124141.000000000
1694523204.347009,52000.000000000,950440.000000000
1694523204.357068,53000.000000000,1069297.000000000
1694523204.367183,54000.000000000,1025025.000000000
1694523204.376956,55000.000000000,1034243.000000000
1694523204.387306,56000.000000000,938356.000000000
1694523204.397929,57000.000000000,1062890.000000000
1694523204.408189,58000.000000000,1018618.000000000
1694523204.417808,59000.000000000,1044192.000000000
1694523204.427402,60000.000000000,1027681.000000000
1694523204.441272,61000.000000000,1001691.000000000
1694523204.447852,62000.000000000,1004815.000000000
1694523204.457536,63000.000000000,1028150.000000000
1694523204.468162,64000.000000000,1176122.000000000
1694523204.478121,65000.000000000,988565.000000000
1694523204.488503,66000.000000000,1269301.000000000
1694523204.497900,67000.000000000,1007107.000000000
1694523204.508268,68000.000000000,1212320.000000000
1694523204.518224,69000.000000000,1034713.000000000
1694523204.528322,70000.000000000,1121173.000000000
1694523204.539272,71000.000000000,1188414.000000000
1694523204.548735,72000.000000000,1099662.000000000
1694523204.558606,73000.000000000,1049660.000000000
1694523204.569145,74000.000000000,1041483.000000000
1694523204.580772,75000.000000000,1002836.000000000
1694523204.589585,76000.000000000,1165393.000000000
1694523204.599472,77000.000000000,1126693.000000000
1694523204.609072,78000.000000000,1021587.000000000
1694523204.619928,79000.000000000,1182060.000000000
1694523204.630036,80000.000000000,1027525.000000000
1694523204.639661,81000.000000000,1166642.000000000
1694523204.665942,83000.000000000,1137892.000000000
1694523204.670421,84000.000000000,1158152.000000000
1694523204.680645,85000.000000000,1049192.000000000
1694523204.691491,86000.000000000,1139610.000000000
1694523204.701995,87000.000000000,1059244.000000000
1694523204.713320,88000.000000000,1070286.000000000
1694523204.724012,89000.000000000,1069348.000000000
1694523204.734620,90000.000000000,1100547.000000000
1694523204.745776,91000.000000000,1126017.000000000
1694523204.757640,92000.000000000,1067786.000000000
1694523204.768678,93000.000000000,1037213.000000000
1694523204.780524,94000.000000000,1122422.000000000
1694523204.792192,95000.000000000,1329043.000000000
1694523204.805133,96000.000000000,1036900.000000000
1694523204.816051,97000.000000000,1186799.000000000
1694523204.830783,98000.000000000,1110704.000000000
1694523204.840826,99000.000000000,1057838.000000000
1694523204.853415,100000.000000000,1073359.000000000
1694523204.866637,101000.000000000,1170445.000000000
1694523204.877828,102000.000000000,1142892.000000000
1694523204.890224,103000.000000000,1203519.000000000
1694523204.903202,104000.000000000,1185184.000000000
1694523204.915388,105000.000000000,1185080.000000000
1694523204.928398,106000.000000000,1261176.000000000
1694523204.941492,107000.000000000,1067109.000000000
1694523204.954674,108000.000000000,1295760.000000000
1694523204.967317,109000.000000000,1093099.000000000
1694523204.980116,110000.000000000,1145808.000000000
1694523204.993507,111000.000000000,1214092.000000000
1694523205.007684,112000.000000000,1037994.000000000
1694523205.021002,113000.000000000,1126589.000000000
1694523205.034803,114000.000000000,1108151.000000000
1694523205.048195,115000.000000000,1150288.000000000
1694523205.061918,116000.000000000,1209873.000000000
1694523205.075700,117000.000000000,1132007.000000000
1694523205.089433,118000.000000000,1165289.000000000
1694523205.103519,119000.000000000,1145652.000000000
1694523205.117667,120000.000000000,1153674.000000000
1694523205.132060,121000.000000000,1206591.000000000
1694523205.148355,122000.000000000,1425763.000000000
1694523205.162928,123000.000000000,1171330.000000000
1694523205.177777,124000.000000000,1161486.000000000
1694523205.192650,125000.000000000,1315240.000000000
1694523205.207422,126000.000000000,1100079.000000000
1694523205.222580,127000.000000000,1295604.000000000
1694523205.238483,128000.000000000,1207060.000000000
1694523205.253273,129000.000000000,1312427.000000000
1694523205.268222,130000.000000000,1124454.000000000
1694523205.283721,131000.000000000,1289719.000000000
1694523205.299528,132000.000000000,1239404.000000000
1694523205.315552,133000.000000000,1374460.000000000
1694523205.331081,134000.000000000,1167216.000000000
1694523205.346881,135000.000000000,1191539.000000000
1694523205.363404,136000.000000000,1204977.000000000
1694523205.379477,137000.000000000,1264770.000000000
1694523205.395345,138000.000000000,1206175.000000000
1694523205.411324,139000.000000000,1290500.000000000
1694523205.428868,140000.000000000,1303260.000000000
1694523205.445076,141000.000000000,1262322.000000000
1694523205.463511,142000.000000000,1234301.000000000
1694523205.481401,143000.000000000,1358991.000000000
1694523205.497000,144000.000000000,1301646.000000000
1694523205.513829,145000.000000000,1234249.000000000
1694523205.531201,146000.000000000,1196539.000000000
1694523205.554344,147000.000000000,1241071.000000000
1694523205.565786,148000.000000000,1241175.000000000
1694523205.583443,149000.000000000,1278885.000000000
1694523205.600484,150000.000000000,1307479.000000000
1694523205.617791,151000.000000000,1327949.000000000
1694523205.638091,152000.000000000,1267947.000000000
1694523205.655369,153000.000000000,1274093.000000000
1694523205.673136,154000.000000000,1300344.000000000
1694523205.691143,155000.000000000,1226592.000000000
1694523205.709477,156000.000000000,1207685.000000000
1694523205.728264,157000.000000000,1237478.000000000
1694523205.746108,158000.000000000,1250551.000000000
1694523205.764878,159000.000000000,1295135.000000000
1694523205.783245,160000.000000000,1248415.000000000
1694523205.802363,161000.000000000,1242739.000000000
1694523205.821749,162000.000000000,1172684.000000000
1694523205.840260,163000.000000000,1201643.000000000
1694523205.859801,164000.000000000,1213102.000000000
1694523205.878630,165000.000000000,1248727.000000000
1694523205.898343,166000.000000000,1207321.000000000
1694523205.917407,167000.000000000,1217633.000000000
1694523205.936498,168000.000000000,1315813.000000000
1694523205.956011,169000.000000000,1250603.000000000
1694523205.976155,170000.000000000,1268624.000000000
1694523205.995795,171000.000000000,1293520.000000000
1694523206.015663,172000.000000000,1206592.000000000
1694523206.035367,173000.000000000,1208363.000000000
1694523206.055606,174000.000000000,1235602.000000000
1694523206.075341,175000.000000000,1263416.000000000
1694523206.095401,176000.000000000,1262322.000000000
1694523206.115471,177000.000000000,1242009.000000000
1694523206.137184,178000.000000000,1321855.000000000
1694523206.157574,179000.000000000,1275811.000000000
1694523206.178453,180000.000000000,1298625.000000000
1694523206.199012,181000.000000000,1327480.000000000
1694523206.221513,182000.000000000,1231801.000000000
1694523206.242510,183000.000000000,1255655.000000000
1694523206.263529,184000.000000000,1273103.000000000
1694523206.284917,185000.000000000,1264718.000000000
1694523206.306469,186000.000000000,1226332.000000000
1694523206.327448,187000.000000000,1307427.000000000
1694523206.348871,188000.000000000,1254562.000000000
1694523206.370480,189000.000000000,1249665.000000000
1694523206.392465,190000.000000000,1459253.000000000
1694523206.414495,191000.000000000,1505817.000000000
1694523206.438908,192000.000000000,1223311.000000000
1694523206.460717,193000.000000000,1379148.000000000
1694523206.483011,194000.000000000,1270187.000000000
1694523206.505467,195000.000000000,1270030.000000000
1694523206.527729,196000.000000000,1425191.000000000
1694523206.550830,197000.000000000,1408731.000000000
1694523206.573296,198000.000000000,1329094.000000000
1694523206.596050,199000.000000000,1361074.000000000
1694523206.618701,200000.000000000,1298989.000000000
1694523206.642223,201000.000000000,1584778.000000000
1694523206.667187,202000.000000000,1316646.000000000
1694523206.690145,203000.000000000,1293260.000000000
1694523206.713207,204000.000000000,1329511.000000000
1694523206.737559,205000.000000000,1337688.000000000
1694523206.760612,206000.000000000,1405971.000000000
1694523206.784199,207000.000000000,1388419.000000000
1694523206.807980,208000.000000000,1349876.000000000
1694523206.832149,209000.000000000,1378314.000000000
1694523206.855703,210000.000000000,1312427.000000000
1694523206.880215,211000.000000000,1259926.000000000
1694523206.906621,212000.000000000,1562069.000000000
1694523206.931558,213000.000000000,1633529.000000000
1694523206.956326,214000.000000000,1434461.000000000
1694523206.980973,215000.000000000,1668477.000000000
1694523207.005811,216000.000000000,1487796.000000000
1694523207.030807,217000.000000000,1456806.000000000
1694523207.055833,218000.000000000,1410242.000000000
1694523207.081268,219000.000000000,1345189.000000000
1694523207.105870,220000.000000000,1515817.000000000
1694523207.133400,221000.000000000,1465087.000000000
1694523207.158801,222000.000000000,1339876.000000000
1694523207.184268,223000.000000000,1399878.000000000
1694523207.210424,224000.000000000,1366751.000000000
1694523207.234694,225000.000000000,1375762.000000000
1694523207.260585,226000.000000000,1438107.000000000
1694523207.289169,227000.000000000,1359825.000000000
1694523207.312373,228000.000000000,1383418.000000000
1694523207.338839,229000.000000000,1343105.000000000
1694523207.364659,230000.000000000,1409044.000000000
1694523207.390510,231000.000000000,1437170.000000000
1694523207.416991,232000.000000000,1473838.000000000
1694523207.443537,233000.000000000,1468368.000000000
1694523207.470337,234000.000000000,1363574.000000000
1694523207.496825,235000.000000000,1394252.000000000
1694523207.524119,236000.000000000,1468785.000000000
1694523207.550688,237000.000000000,1350605.000000000
1694523207.581172,238000.000000000,1700562.000000000
1694523207.605808,239000.000000000,1403419.000000000
1694523207.632674,240000.000000000,1779730.000000000
1694523207.661076,241000.000000000,1518578.000000000
1694523207.688531,242000.000000000,1436910.000000000
1694523207.715464,243000.000000000,1453263.000000000
1694523207.743329,244000.000000000,1420815.000000000
1694523207.771082,245000.000000000,1442066.000000000
1694523207.798829,246000.000000000,1382638.000000000
1694523207.826818,247000.000000000,1600976.000000000
1694523207.855405,248000.000000000,1489411.000000000
1694523207.883155,249000.000000000,1429982.000000000
1694523207.911661,250000.000000000,1514515.000000000
1694523207.940143,251000.000000000,1425347.000000000
1694523207.971367,252000.000000000,1484619.000000000
1694523207.999617,253000.000000000,1432742.000000000
1694523208.028500,254000.000000000,1485764.000000000
1694523208.057165,255000.000000000,1395242.000000000
1694523208.085802,256000.000000000,1584517.000000000
1694523208.114861,257000.000000000,1493213.000000000
1694523208.144310,258000.000000000,1506182.000000000
1694523208.173595,259000.000000000,1398575.000000000
1694523208.202761,260000.000000000,1475921.000000000
1694523208.232437,261000.000000000,1469826.000000000
1694523208.261458,262000.000000000,1468004.000000000
1694523208.291715,263000.000000000,1568266.000000000
1694523208.322356,264000.000000000,1585246.000000000
1694523208.352438,265000.000000000,1486858.000000000
1694523208.382493,266000.000000000,1500713.000000000
1694523208.412097,267000.000000000,1470921.000000000
1694523208.443417,268000.000000000,1521078.000000000
1694523208.473819,269000.000000000,1730458.000000000
1694523208.504780,270000.000000000,1570975.000000000
1694523208.535456,271000.000000000,1498994.000000000
1694523208.565854,272000.000000000,1499620.000000000
1694523208.596491,273000.000000000,1481546.000000000
1694523208.627471,274000.000000000,1569777.000000000
