__time,/time/dim,/time/time
1694537074.705436,181000.000000000,174169.000000000
1694537074.726480,182000.000000000,158909.000000000
1694537074.746777,183000.000000000,165836.000000000
1694537074.767384,184000.000000000,151200.000000000
1694537074.787969,185000.000000000,163336.000000000
1694537074.809411,186000.000000000,154638.000000000
1694537074.830110,187000.000000000,147867.000000000
1694537074.851687,188000.000000000,448131.000000000
1694537074.874165,189000.000000000,172190.000000000
1694537074.895849,190000.000000000,161461.000000000
1694537074.917910,191000.000000000,158961.000000000
1694537074.941182,192000.000000000,165992.000000000
1694537074.961326,193000.000000000,207815.000000000
1694537074.983632,194000.000000000,186826.000000000
1694537075.005775,195000.000000000,201721.000000000
1694537075.028316,196000.000000000,154222.000000000
1694537075.050276,197000.000000000,207607.000000000
1694537075.072638,198000.000000000,161721.000000000
1694537075.095541,199000.000000000,164899.000000000
1694537075.117555,200000.000000000,180576.000000000
1694537075.140131,201000.000000000,197919.000000000
1694537075.163294,202000.000000000,190784.000000000
1694537075.185691,203000.000000000,181930.000000000
1694537075.208933,204000.000000000,159274.000000000
1694537075.232124,205000.000000000,182294.000000000
1694537075.255475,206000.000000000,212868.000000000
1694537075.278340,207000.000000000,189743.000000000
1694537075.303478,208000.000000000,174898.000000000
1694537075.326934,209000.000000000,194065.000000000
1694537075.351193,210000.000000000,221097.000000000
1694537075.374656,211000.000000000,166930.000000000
1694537075.398422,212000.000000000,171565.000000000
1694537075.422364,213000.000000000,163440.000000000
1694537075.446288,214000.000000000,174690.000000000
1694537075.470131,215000.000000000,163232.000000000
1694537075.494575,216000.000000000,178596.000000000
1694537075.519026,217000.000000000,178336.000000000
1694537075.543577,218000.000000000,190419.000000000
1694537075.567688,219000.000000000,159846.000000000
1694537075.592579,220000.000000000,170315.000000000
1694537075.617233,221000.000000000,162034.000000000
1694537075.641681,222000.000000000,181929.000000000
1694537075.666220,223000.000000000,160523.000000000
1694537075.691756,224000.000000000,229014.000000000
1694537075.717266,225000.000000000,209951.000000000
1694537075.742849,226000.000000000,218910.000000000
1694537075.768064,227000.000000000,171252.000000000
1694537075.793161,228000.000000000,165679.000000000
1694537075.818897,229000.000000000,174169.000000000
1694537075.844792,230000.000000000,183492.000000000
1694537075.870758,231000.000000000,172815.000000000
1694537075.897280,232000.000000000,181409.000000000
1694537075.923142,233000.000000000,176565.000000000
1694537075.949344,234000.000000000,181305.000000000
1694537075.975790,235000.000000000,200992.000000000
1694537076.002701,236000.000000000,189794.000000000
1694537076.028196,237000.000000000,164222.000000000
1694537076.054995,238000.000000000,182451.000000000
1694537076.081441,239000.000000000,176304.000000000
1694537076.108200,240000.000000000,259900.000000000
1694537076.135725,241000.000000000,194430.000000000
1694537076.162713,242000.000000000,195732.000000000
1694537076.190285,243000.000000000,191565.000000000
1694537076.217319,244000.000000000,191045.000000000
1694537076.244613,245000.000000000,170575.000000000
1694537076.272058,246000.000000000,182763.000000000
1694537076.299405,247000.000000000,177086.000000000
1694537076.326994,248000.000000000,179013.000000000
1694537076.354956,249000.000000000,192242.000000000
1694537076.383188,250000.000000000,196826.000000000
1694537076.410958,251000.000000000,174013.000000000
1694537076.439472,252000.000000000,204483.000000000
1694537076.467608,253000.000000000,184169.000000000
1694537076.495944,254000.000000000,201878.000000000
1694537076.524343,255000.000000000,242921.000000000
1694537076.552547,256000.000000000,179013.000000000
1694537076.581343,257000.000000000,185993.000000000
1694537076.610076,258000.000000000,184690.000000000
1694537076.638743,259000.000000000,191044.000000000
1694537076.667538,260000.000000000,178961.000000000
1694537076.696539,261000.000000000,179638.000000000
1694537076.725662,262000.000000000,206044.000000000
1694537076.754896,263000.000000000,239743.000000000
1694537076.786073,264000.000000000,470840.000000000
1694537076.814639,265000.000000000,176461.000000000
1694537076.844107,266000.000000000,187346.000000000
1694537076.873511,267000.000000000,180627.000000000
1694537076.903413,268000.000000000,177450.000000000
1694537076.933171,269000.000000000,199743.000000000
1694537076.964034,270000.000000000,196097.000000000
