__time,/time/dim,/time/time
1694535630.175622,7000.000000000,911950.000000000
1694535630.185552,8000.000000000,811011.000000000
1694535630.195493,9000.000000000,689080.000000000
1694535630.205791,10000.000000000,833720.000000000
1694535630.215879,11000.000000000,780072.000000000
1694535630.225870,12000.000000000,777572.000000000
1694535630.235986,13000.000000000,746842.000000000
1694535630.246080,14000.000000000,762154.000000000
1694535630.256268,15000.000000000,741529.000000000
1694535630.266357,16000.000000000,745696.000000000
1694535630.276660,17000.000000000,709237.000000000
1694535630.286452,18000.000000000,706581.000000000
1694535630.296620,19000.000000000,721425.000000000
1694535630.306714,20000.000000000,741790.000000000
1694535630.316796,21000.000000000,649391.000000000
1694535630.326909,22000.000000000,719289.000000000
1694535630.337028,23000.000000000,667257.000000000
1694535630.347045,24000.000000000,713508.000000000
1694535630.357175,25000.000000000,680903.000000000
1694535630.367430,26000.000000000,733456.000000000
1694535630.377591,27000.000000000,626057.000000000
1694535630.387492,28000.000000000,771374.000000000
1694535630.397660,29000.000000000,701997.000000000
1694535630.407833,30000.000000000,790280.000000000
1694535630.417795,31000.000000000,699184.000000000
1694535630.427952,32000.000000000,761217.000000000
1694535630.438198,33000.000000000,742987.000000000
1694535630.448186,34000.000000000,753873.000000000
1694535630.458430,35000.000000000,759290.000000000
1694535630.468711,36000.000000000,771061.000000000
1694535630.478691,37000.000000000,696007.000000000
1694535630.488650,38000.000000000,793822.000000000
1694535630.498872,39000.000000000,786791.000000000
1694535630.508871,40000.000000000,785645.000000000
1694535630.519061,41000.000000000,757623.000000000
1694535630.529141,42000.000000000,760176.000000000
1694535630.539220,43000.000000000,781114.000000000
1694535630.549239,44000.000000000,774030.000000000
1694535630.559392,45000.000000000,816063.000000000
1694535630.569531,46000.000000000,815541.000000000
1694535630.579908,47000.000000000,826531.000000000
1694535630.589519,48000.000000000,691684.000000000
1694535630.599733,49000.000000000,784811.000000000
1694535630.609911,50000.000000000,815854.000000000
1694535630.620234,51000.000000000,803926.000000000
1694535630.630271,52000.000000000,854449.000000000
1694535630.640230,53000.000000000,796895.000000000
1694535630.650364,54000.000000000,828980.000000000
1694535630.660482,55000.000000000,812104.000000000
1694535630.670725,56000.000000000,911794.000000000
1694535630.680938,57000.000000000,866376.000000000
1694535630.690958,58000.000000000,833511.000000000
1694535630.701062,59000.000000000,844031.000000000
1694535630.711137,60000.000000000,947888.000000000
1694535630.721338,61000.000000000,839083.000000000
1694535630.731244,62000.000000000,845803.000000000
1694535630.741326,63000.000000000,830802.000000000
1694535630.751513,64000.000000000,835802.000000000
1694535630.761696,65000.000000000,918304.000000000
1694535630.772451,66000.000000000,1032787.000000000
1694535630.781976,67000.000000000,858303.000000000
1694535630.792004,68000.000000000,921898.000000000
1694535630.802151,69000.000000000,878720.000000000
1694535630.812053,70000.000000000,865855.000000000
1694535630.822139,71000.000000000,805333.000000000
1694535630.832252,72000.000000000,764134.000000000
1694535630.842153,73000.000000000,746269.000000000
1694535630.852417,74000.000000000,860491.000000000
1694535630.862483,75000.000000000,767520.000000000
1694535630.872675,76000.000000000,772103.000000000
1694535630.882695,77000.000000000,829656.000000000
1694535630.892842,78000.000000000,845491.000000000
1694535630.906130,79000.000000000,753925.000000000
1694535630.923498,81000.000000000,651215.000000000
1694535630.932982,82000.000000000,488450.000000000
