__time,/time/dim,/time/time
1694537255.565457,6000.000000000,587926.000000000
1694537255.575636,7000.000000000,609905.000000000
1694537255.585861,8000.000000000,698760.000000000
1694537255.596034,9000.000000000,773501.000000000
1694537255.606141,10000.000000000,815429.000000000
1694537255.616095,11000.000000000,663656.000000000
1694537255.626399,12000.000000000,821054.000000000
1694537255.636296,13000.000000000,634332.000000000
1694537255.646526,14000.000000000,770637.000000000
1694537255.657111,15000.000000000,1227154.000000000
1694537255.666616,16000.000000000,687562.000000000
1694537255.676891,17000.000000000,582145.000000000
1694537255.686788,18000.000000000,670010.000000000
1694537255.696909,19000.000000000,620322.000000000
1694537255.707014,20000.000000000,654853.000000000
1694537255.717107,21000.000000000,664750.000000000
1694537255.727313,22000.000000000,719282.000000000
1694537255.737391,23000.000000000,664385.000000000
1694537255.747807,24000.000000000,802565.000000000
1694537255.757669,25000.000000000,693240.000000000
1694537255.767701,26000.000000000,714438.000000000
1694537255.777857,27000.000000000,705948.000000000
1694537255.788013,28000.000000000,771418.000000000
1694537255.798048,29000.000000000,672614.000000000
1694537255.808490,30000.000000000,966993.000000000
1694537255.818402,31000.000000000,801262.000000000
1694537255.829167,32000.000000000,1082985.000000000
1694537255.838793,33000.000000000,776782.000000000
1694537255.848923,34000.000000000,911368.000000000
1694537255.858733,35000.000000000,736574.000000000
1694537255.868895,36000.000000000,739282.000000000
1694537255.879664,37000.000000000,1458668.000000000
1694537255.889299,38000.000000000,921785.000000000
1694537255.899438,39000.000000000,898399.000000000
1694537255.909510,40000.000000000,1010797.000000000
1694537255.919466,41000.000000000,771835.000000000
1694537255.929978,42000.000000000,1061891.000000000
1694537255.939714,43000.000000000,808189.000000000
1694537255.949863,44000.000000000,929389.000000000
1694537255.959871,45000.000000000,780897.000000000
1694537255.970471,46000.000000000,1185070.000000000
1694537255.980227,47000.000000000,924180.000000000
1694537255.990168,48000.000000000,748240.000000000
1694537256.000461,49000.000000000,966994.000000000
1694537256.010447,50000.000000000,907045.000000000
1694537256.020417,51000.000000000,816262.000000000
1694537256.030725,52000.000000000,894180.000000000
1694537256.041166,53000.000000000,1036005.000000000
1694537256.051156,54000.000000000,924806.000000000
1694537256.061549,55000.000000000,1053453.000000000
1694537256.071225,56000.000000000,896107.000000000
1694537256.081275,57000.000000000,940952.000000000
1694537256.091184,58000.000000000,736522.000000000
1694537256.101390,59000.000000000,807355.000000000
1694537256.111421,60000.000000000,813866.000000000
1694537256.121573,61000.000000000,883607.000000000
1694537256.131816,62000.000000000,968295.000000000
1694537256.141701,63000.000000000,781209.000000000
1694537256.151823,64000.000000000,803867.000000000
1694537256.162034,65000.000000000,806158.000000000
1694537256.172279,66000.000000000,861992.000000000
1694537256.182317,67000.000000000,841523.000000000
1694537256.192355,68000.000000000,870742.000000000
1694537256.202565,69000.000000000,889961.000000000
1694537256.212725,70000.000000000,963661.000000000
1694537256.222720,71000.000000000,866732.000000000
1694537256.232595,72000.000000000,716678.000000000
1694537256.242837,73000.000000000,820169.000000000
1694537256.252999,74000.000000000,852825.000000000
1694537256.263175,75000.000000000,871628.000000000
1694537256.273228,76000.000000000,854960.000000000
1694537256.283303,77000.000000000,833971.000000000
1694537256.293324,78000.000000000,805742.000000000
1694537256.303532,79000.000000000,878971.000000000
1694537256.313527,80000.000000000,818919.000000000
1694537256.323743,81000.000000000,914753.000000000
1694537256.333774,82000.000000000,849127.000000000
1694537256.353542,84000.000000000,286515.000000000
1694537256.364827,85000.000000000,346516.000000000
