__time,/time/dim,/time/time
1694535916.934021,181000.000000000,1668115.000000000
1694535916.955455,182000.000000000,1614624.000000000
1694535916.979062,183000.000000000,1495403.000000000
1694535916.999991,184000.000000000,1422901.000000000
1694535917.021151,185000.000000000,1377900.000000000
1694535917.042127,186000.000000000,1291908.000000000
1694535917.063342,187000.000000000,1396442.000000000
1694535917.084931,188000.000000000,1489673.000000000
1694535917.106317,189000.000000000,1371857.000000000
1694535917.129449,190000.000000000,1429307.000000000
1694535917.151186,191000.000000000,1337430.000000000
1694535917.172899,192000.000000000,1394775.000000000
1694535917.194931,193000.000000000,1416286.000000000
1694535917.216968,194000.000000000,1320138.000000000
1694535917.238989,195000.000000000,1356024.000000000
1694535917.261158,196000.000000000,1410817.000000000
1694535917.283854,197000.000000000,1363055.000000000
1694535917.306168,198000.000000000,1369878.000000000
1694535917.328689,199000.000000000,1365712.000000000
1694535917.351293,200000.000000000,1327326.000000000
1694535917.374160,201000.000000000,1415400.000000000
1694535917.396852,202000.000000000,1399358.000000000
1694535917.419935,203000.000000000,1320346.000000000
1694535917.442894,204000.000000000,1352586.000000000
1694535917.466029,205000.000000000,1342898.000000000
1694535917.489175,206000.000000000,1333680.000000000
1694535917.512427,207000.000000000,1354774.000000000
1694535917.535848,208000.000000000,1320502.000000000
1694535917.559389,209000.000000000,1375295.000000000
1694535917.583696,210000.000000000,1423943.000000000
1694535917.607521,211000.000000000,1395765.000000000
1694535917.631366,212000.000000000,1444255.000000000
1694535917.655510,213000.000000000,1376962.000000000
1694535917.679960,214000.000000000,1495194.000000000
1694535917.704065,215000.000000000,1415296.000000000
1694535917.728364,216000.000000000,1337742.000000000
1694535917.752628,217000.000000000,1328367.000000000
1694535917.777162,218000.000000000,1499986.000000000
1694535917.801829,219000.000000000,1331961.000000000
1694535917.828317,220000.000000000,1407483.000000000
1694535917.853139,221000.000000000,1355556.000000000
1694535917.878011,222000.000000000,1412223.000000000
1694535917.903146,223000.000000000,1422432.000000000
1694535917.928267,224000.000000000,1362691.000000000
1694535917.953440,225000.000000000,1398004.000000000
1694535917.978869,226000.000000000,1393264.000000000
1694535918.004248,227000.000000000,1383785.000000000
1694535918.029856,228000.000000000,1419567.000000000
1694535918.055859,229000.000000000,1515403.000000000
1694535918.081679,230000.000000000,1499778.000000000
1694535918.107789,231000.000000000,1451755.000000000
1694535918.133831,232000.000000000,1496340.000000000
