__time,/count,/rtt
1694535234.475794,3000.000000000,852567.000000000
1694535234.486116,4000.000000000,727929.000000000
1694535234.497450,5000.000000000,890797.000000000
1694535234.512510,6000.000000000,3490863.000000000
1694535234.528919,7000.000000000,4137911.000000000
1694535234.544126,8000.000000000,3929312.000000000
1694535234.565734,9000.000000000,4382135.000000000
1694535234.575612,10000.000000000,3816445.000000000
1694535234.594387,11000.000000000,4722717.000000000
1694535234.610163,12000.000000000,1699412.000000000
1694535234.628035,13000.000000000,3866289.000000000
1694535234.649424,14000.000000000,3605814.000000000
1694535234.670445,15000.000000000,4048377.000000000
1694535234.690868,16000.000000000,2971944.000000000
1694535234.713474,17000.000000000,3546282.000000000
1694535234.735662,18000.000000000,4125515.000000000
1694535234.758263,19000.000000000,4274477.000000000
1694535234.780680,20000.000000000,2950798.000000000
1694535234.802818,21000.000000000,4509118.000000000
1694535234.827249,22000.000000000,4556932.000000000
1694535234.850344,23000.000000000,3577480.000000000
1694535234.874127,24000.000000000,3849726.000000000
1694535234.898277,25000.000000000,3893321.000000000
1694535234.921713,26000.000000000,3232732.000000000
1694535234.945512,27000.000000000,3201533.000000000
1694535234.965697,28000.000000000,4207964.000000000
1694535234.991102,29000.000000000,4386251.000000000
1694535235.012440,30000.000000000,3225440.000000000
1694535235.035819,31000.000000000,3540760.000000000
1694535235.057675,32000.000000000,3214502.000000000
1694535235.082032,33000.000000000,3819882.000000000
1694535235.103540,34000.000000000,2522974.000000000
1694535235.123212,35000.000000000,1539095.000000000
1694535235.147670,36000.000000000,3006893.000000000
1694535235.168687,37000.000000000,2865326.000000000
1694535235.191251,38000.000000000,1959210.000000000
1694535235.213349,39000.000000000,2581413.000000000
1694535235.232784,40000.000000000,2381877.000000000
1694535235.257620,41000.000000000,3537479.000000000
1694535235.279694,42000.000000000,3655243.000000000
1694535235.303846,43000.000000000,2420784.000000000
1694535235.325193,44000.000000000,3438049.000000000
1694535235.349362,45000.000000000,3025018.000000000
1694535235.373100,46000.000000000,3065696.000000000
1694535235.397133,47000.000000000,3169293.000000000
1694535235.420611,48000.000000000,3143094.000000000
1694535235.444142,49000.000000000,923923.000000000
1694535235.455560,50000.000000000,900901.000000000
1694535235.472736,51000.000000000,918089.000000000
1694535235.485601,52000.000000000,939236.000000000
1694535235.501983,53000.000000000,855432.000000000
1694535235.516087,54000.000000000,808921.000000000
1694535235.532045,55000.000000000,836160.000000000
1694535235.547738,56000.000000000,1374090.000000000
1694535235.568909,57000.000000000,3495291.000000000
1694535235.585798,58000.000000000,3119916.000000000
1694535235.602713,59000.000000000,716626.000000000
1694535235.621729,60000.000000000,3427945.000000000
1694535235.644489,61000.000000000,2969339.000000000
1694535235.663467,62000.000000000,1390393.000000000
1694535235.687237,63000.000000000,3683004.000000000
1694535235.715739,64000.000000000,3191949.000000000
1694535235.731234,65000.000000000,1925146.000000000
1694535235.753824,66000.000000000,1645556.000000000
1694535235.776428,67000.000000000,1097469.000000000
1694535235.801576,68000.000000000,3265753.000000000
1694535235.821567,69000.000000000,1686702.000000000
1694535235.846602,70000.000000000,2809960.000000000
1694535235.869789,71000.000000000,3676857.000000000
1694535235.893666,72000.000000000,3525187.000000000
1694535235.915633,73000.000000000,3382788.000000000
1694535235.939746,74000.000000000,2545995.000000000
1694535235.962380,75000.000000000,3355182.000000000
1694535235.985848,76000.000000000,2479170.000000000
1694535236.008658,77000.000000000,2985642.000000000
1694535236.031408,78000.000000000,2258905.000000000
1694535236.055467,79000.000000000,2793398.000000000
1694535236.077724,80000.000000000,2835430.000000000
1694535236.101705,81000.000000000,2499588.000000000
1694535236.123354,82000.000000000,3430966.000000000
1694535236.148285,83000.000000000,2505109.000000000
1694535236.169944,84000.000000000,3406746.000000000
1694535236.192992,85000.000000000,2135204.000000000
1694535236.215308,86000.000000000,2350938.000000000
1694535236.238522,87000.000000000,2395887.000000000
1694535236.261542,88000.000000000,3563574.000000000
1694535236.285707,89000.000000000,3641023.000000000
1694535236.308612,90000.000000000,3600189.000000000
1694535236.333913,91000.000000000,3569198.000000000
1694535236.356166,92000.000000000,2667301.000000000
1694535236.379210,93000.000000000,1836237.000000000
1694535236.400955,94000.000000000,2569016.000000000
1694535236.427513,95000.000000000,3555188.000000000
1694535236.451161,96000.000000000,3588209.000000000
1694535236.474558,97000.000000000,3475029.000000000
1694535236.499091,98000.000000000,3423466.000000000
