__time,/count,/rtt
1694535407.322806,4000.000000000,1194294.000000000
1694535407.335706,5000.000000000,1312787.000000000
1694535407.349693,6000.000000000,1708891.000000000
1694535407.363893,7000.000000000,1954209.000000000
1694535407.376582,8000.000000000,1839935.000000000
1694535407.392092,9000.000000000,1701026.000000000
1694535407.408761,10000.000000000,1217680.000000000
1694535407.426269,11000.000000000,1697224.000000000
1694535407.443564,12000.000000000,1344299.000000000
1694535407.462478,13000.000000000,1745142.000000000
1694535407.484114,14000.000000000,2113380.000000000
1694535407.500734,15000.000000000,1316172.000000000
1694535407.521347,16000.000000000,2005877.000000000
1694535407.542279,17000.000000000,2931214.000000000
1694535407.558802,18000.000000000,1685921.000000000
1694535407.575464,19000.000000000,1080542.000000000
1694535407.589235,20000.000000000,413910.000000000
1694535407.600348,21000.000000000,432816.000000000
1694535407.612752,22000.000000000,467453.000000000
1694535407.626634,23000.000000000,332085.000000000
1694535407.639056,24000.000000000,366357.000000000
1694535407.653886,25000.000000000,489329.000000000
1694535407.667600,26000.000000000,544486.000000000
1694535407.685936,27000.000000000,710688.000000000
1694535407.703193,28000.000000000,929704.000000000
1694535407.722995,29000.000000000,1949731.000000000
1694535407.739496,30000.000000000,607352.000000000
1694535407.759841,31000.000000000,639072.000000000
1694535407.776055,32000.000000000,612353.000000000
1694535407.796438,33000.000000000,918142.000000000
1694535407.813967,34000.000000000,637822.000000000
1694535407.834066,35000.000000000,711313.000000000
1694535407.854925,36000.000000000,716470.000000000
1694535407.875820,37000.000000000,674229.000000000
1694535407.893141,38000.000000000,509537.000000000
1694535407.910613,39000.000000000,539747.000000000
1694535407.930106,40000.000000000,990852.000000000
1694535407.951558,41000.000000000,791420.000000000
1694535407.968175,42000.000000000,509382.000000000
1694535407.986284,43000.000000000,505371.000000000
1694535408.004651,44000.000000000,485578.000000000
1694535408.022957,45000.000000000,502350.000000000
1694535408.043060,46000.000000000,531257.000000000
1694535408.062220,47000.000000000,1651702.000000000
1694535408.083090,48000.000000000,509277.000000000
1694535408.100766,49000.000000000,417296.000000000
1694535408.121176,50000.000000000,1270754.000000000
1694535408.139119,51000.000000000,957048.000000000
1694535408.159517,52000.000000000,1318933.000000000
1694535408.177554,53000.000000000,445265.000000000
1694535408.196164,54000.000000000,445942.000000000
1694535408.215190,55000.000000000,445838.000000000
1694535408.237013,56000.000000000,445369.000000000
1694535408.253584,57000.000000000,587508.000000000
1694535408.270775,58000.000000000,480370.000000000
1694535408.286278,59000.000000000,445682.000000000
1694535408.302833,60000.000000000,425473.000000000
1694535408.317703,61000.000000000,457817.000000000
1694535408.334772,62000.000000000,445005.000000000
1694535408.348774,63000.000000000,356825.000000000
1694535408.365699,64000.000000000,342450.000000000
1694535408.380062,65000.000000000,311929.000000000
1694535408.398615,66000.000000000,354898.000000000
1694535408.415572,67000.000000000,380523.000000000
1694535408.436180,68000.000000000,336408.000000000
1694535408.451458,69000.000000000,365263.000000000
1694535408.470646,70000.000000000,372503.000000000
1694535408.488421,71000.000000000,371982.000000000
1694535408.508731,72000.000000000,680896.000000000
1694535408.527489,73000.000000000,872880.000000000
1694535408.547607,74000.000000000,801577.000000000
1694535408.565776,75000.000000000,367086.000000000
1694535408.585950,76000.000000000,387242.000000000
1694535408.604796,77000.000000000,340470.000000000
1694535408.624255,78000.000000000,1000852.000000000
1694535408.643499,79000.000000000,338752.000000000
1694535408.663491,80000.000000000,342866.000000000
1694535408.680711,81000.000000000,352346.000000000
1694535408.701806,82000.000000000,340367.000000000
1694535408.719544,83000.000000000,340575.000000000
1694535408.739691,84000.000000000,787305.000000000
1694535408.758408,85000.000000000,1198252.000000000
1694535408.777193,86000.000000000,316876.000000000
1694535408.797241,87000.000000000,313386.000000000
1694535408.815145,88000.000000000,314324.000000000
1694535408.835563,89000.000000000,1730610.000000000
1694535408.855794,90000.000000000,316199.000000000
1694535408.874061,91000.000000000,316720.000000000
1694535408.894747,92000.000000000,321303.000000000
1694535408.913607,93000.000000000,316772.000000000
1694535408.936294,94000.000000000,730741.000000000
1694535408.954135,95000.000000000,1210336.000000000
1694535408.976650,96000.000000000,422452.000000000
1694535408.994534,97000.000000000,328804.000000000
1694535409.013947,98000.000000000,319480.000000000
1694535409.033558,99000.000000000,317761.000000000
1694535409.058336,100000.000000000,304585.000000000
