__time,/count,/rtt
1694534495.617721,2000.000000000,679601.000000000
1694534495.628744,3000.000000000,345374.000000000
1694534495.639226,4000.000000000,347196.000000000
1694534495.650198,5000.000000000,356259.000000000
1694534495.664081,6000.000000000,3090287.000000000
1694534495.675205,7000.000000000,351988.000000000
1694534495.689668,8000.000000000,1575248.000000000
1694534495.700078,9000.000000000,1612125.000000000
1694534495.713054,10000.000000000,1723638.000000000
1694534495.725631,11000.000000000,1721242.000000000
1694534495.739094,12000.000000000,1762754.000000000
1694534495.755523,13000.000000000,369801.000000000
1694534495.763542,14000.000000000,1372951.000000000
1694534495.788080,15000.000000000,1416234.000000000
1694534495.789215,16000.000000000,289383.000000000
1694534495.804462,17000.000000000,875387.000000000
1694534495.816718,18000.000000000,402198.000000000
1694534495.830267,19000.000000000,1344462.000000000
1694534495.845504,20000.000000000,1445194.000000000
1694534495.856868,21000.000000000,287299.000000000
1694534495.869810,22000.000000000,337508.000000000
1694534495.883904,23000.000000000,970806.000000000
1694534495.896963,24000.000000000,287403.000000000
1694534495.911140,25000.000000000,259486.000000000
1694534495.923732,26000.000000000,1040130.000000000
1694534495.938365,27000.000000000,1035026.000000000
1694534495.950304,28000.000000000,248965.000000000
1694534495.965496,29000.000000000,288185.000000000
1694534495.979956,30000.000000000,1105810.000000000
1694534495.991051,31000.000000000,255162.000000000
1694534496.004172,32000.000000000,1001067.000000000
1694534496.018680,33000.000000000,242975.000000000
1694534496.031124,34000.000000000,242089.000000000
1694534496.046146,35000.000000000,349696.000000000
1694534496.059547,36000.000000000,354592.000000000
1694534496.072754,37000.000000000,276049.000000000
1694534496.086880,38000.000000000,252923.000000000
1694534496.101241,39000.000000000,290163.000000000
1694534496.113664,40000.000000000,296831.000000000
1694534496.128480,41000.000000000,299903.000000000
1694534496.141394,42000.000000000,229798.000000000
1694534496.157027,43000.000000000,299800.000000000
1694534496.169694,44000.000000000,277246.000000000
1694534496.185509,45000.000000000,305060.000000000
1694534496.198454,46000.000000000,240944.000000000
1694534496.213441,47000.000000000,302091.000000000
1694534496.226579,48000.000000000,235892.000000000
1694534496.242859,49000.000000000,310217.000000000
1694534496.255865,50000.000000000,232558.000000000
1694534496.272063,51000.000000000,317456.000000000
1694534496.287805,52000.000000000,260110.000000000
1694534496.301209,53000.000000000,280893.000000000
1694534496.314980,54000.000000000,223444.000000000
1694534496.331448,55000.000000000,311102.000000000
1694534496.345161,56000.000000000,258965.000000000
1694534496.361114,57000.000000000,281986.000000000
1694534496.376422,58000.000000000,235944.000000000
1694534496.391596,59000.000000000,330529.000000000
1694534496.405584,60000.000000000,242975.000000000
1694534496.420637,61000.000000000,269330.000000000
1694534496.436426,62000.000000000,236933.000000000
1694534496.453984,63000.000000000,327769.000000000
1694534496.467302,64000.000000000,196515.000000000
1694534496.483119,65000.000000000,207140.000000000
1694534496.499357,66000.000000000,219120.000000000
1694534496.514461,67000.000000000,253340.000000000
1694534496.540028,68000.000000000,217923.000000000
1694534496.545882,69000.000000000,197922.000000000
1694534496.562507,70000.000000000,182765.000000000
1694534496.581451,71000.000000000,180317.000000000
1694534496.598601,72000.000000000,199745.000000000
1694534496.617785,73000.000000000,183494.000000000
1694534496.636549,74000.000000000,176567.000000000
1694534496.654343,75000.000000000,185004.000000000
1694534496.673386,76000.000000000,212453.000000000
1694534496.696865,77000.000000000,207870.000000000
1694534496.711789,78000.000000000,177974.000000000
1694534496.728140,79000.000000000,211985.000000000
1694534496.747782,80000.000000000,201047.000000000
1694534496.766128,81000.000000000,200109.000000000
1694534496.785646,82000.000000000,197557.000000000
1694534496.804713,83000.000000000,204537.000000000
1694534496.825380,84000.000000000,185890.000000000
1694534496.844613,85000.000000000,182974.000000000
1694534496.866110,86000.000000000,176098.000000000
1694534496.884140,87000.000000000,182713.000000000
1694534496.904360,88000.000000000,191463.000000000
1694534496.925483,89000.000000000,198078.000000000
1694534496.942887,90000.000000000,212818.000000000
1694534496.962596,91000.000000000,187609.000000000
1694534496.982720,92000.000000000,206204.000000000
1694534497.003402,93000.000000000,173910.000000000
1694534497.022526,94000.000000000,193130.000000000
1694534497.042829,95000.000000000,199171.000000000
1694534497.062186,96000.000000000,207610.000000000
1694534497.081883,97000.000000000,210005.000000000
1694534497.105288,98000.000000000,202765.000000000
1694534497.122115,99000.000000000,212922.000000000
1694534497.141150,100000.000000000,245423.000000000
1694534497.163026,101000.000000000,227193.000000000
1694534497.179592,102000.000000000,203130.000000000
1694534497.199505,103000.000000000,202974.000000000
1694534497.219746,104000.000000000,222194.000000000
1694534497.242880,105000.000000000,209328.000000000
1694534497.260267,106000.000000000,205578.000000000
1694534497.279747,107000.000000000,204641.000000000
1694534497.300585,108000.000000000,232662.000000000
1694534497.320037,109000.000000000,201255.000000000
1694534497.340114,110000.000000000,223235.000000000
1694534497.361125,111000.000000000,282559.000000000
1694534497.380169,112000.000000000,286257.000000000
1694534497.399684,113000.000000000,260163.000000000
1694534497.420323,114000.000000000,266778.000000000
1694534497.441043,115000.000000000,245370.000000000
1694534497.461205,116000.000000000,206776.000000000
1694534497.482375,117000.000000000,240214.000000000
1694534497.500835,118000.000000000,246934.000000000
1694534497.520658,119000.000000000,214433.000000000
1694534497.540740,120000.000000000,209068.000000000
1694534497.560377,121000.000000000,275841.000000000
1694534497.580957,122000.000000000,242090.000000000
1694534497.601632,123000.000000000,206984.000000000
1694534497.622383,124000.000000000,211099.000000000
1694534497.644032,125000.000000000,228964.000000000
1694534497.663446,126000.000000000,205786.000000000
1694534497.684287,127000.000000000,199953.000000000
1694534497.705193,128000.000000000,302143.000000000
1694534497.726443,129000.000000000,241152.000000000
1694534497.750991,130000.000000000,211203.000000000
1694534497.767761,131000.000000000,226829.000000000
1694534497.789105,132000.000000000,205786.000000000
1694534497.810176,133000.000000000,366051.000000000
1694534497.832674,134000.000000000,242246.000000000
1694534497.852832,135000.000000000,201255.000000000
1694534497.874649,136000.000000000,230423.000000000
1694534497.896770,137000.000000000,336050.000000000
1694534497.917919,138000.000000000,235996.000000000
1694534497.940190,139000.000000000,231620.000000000
1694534497.972646,140000.000000000,240631.000000000
1694534497.986161,141000.000000000,341988.000000000
1694534498.016652,142000.000000000,243184.000000000
1694534498.029333,143000.000000000,215891.000000000
1694534498.050067,144000.000000000,224797.000000000
1694534498.072352,145000.000000000,351520.000000000
1694534498.094512,146000.000000000,246360.000000000
1694534498.116439,147000.000000000,225579.000000000
1694534498.138867,148000.000000000,224432.000000000
1694534498.162554,149000.000000000,350686.000000000
1694534498.183743,150000.000000000,253184.000000000
1694534498.206226,151000.000000000,227037.000000000
1694534498.232764,152000.000000000,253548.000000000
1694534498.253243,153000.000000000,344905.000000000
1694534498.274359,154000.000000000,239173.000000000
1694534498.297873,155000.000000000,252559.000000000
1694534498.320216,156000.000000000,236725.000000000
1694534498.343892,157000.000000000,356780.000000000
1694534498.367264,158000.000000000,249798.000000000
1694534498.389576,159000.000000000,245059.000000000
1694534498.412695,160000.000000000,247038.000000000
1694534498.437326,161000.000000000,359488.000000000
1694534498.459490,162000.000000000,252611.000000000
1694534498.483788,163000.000000000,225683.000000000
1694534498.506546,164000.000000000,239329.000000000
1694534498.530112,165000.000000000,253080.000000000
1694534498.556530,166000.000000000,482044.000000000
1694534498.577946,167000.000000000,306049.000000000
1694534498.602088,168000.000000000,320477.000000000
1694534498.626139,169000.000000000,209016.000000000
1694534498.651746,170000.000000000,421730.000000000
1694534498.677746,171000.000000000,283705.000000000
1694534498.698960,172000.000000000,243079.000000000
1694534498.723038,173000.000000000,191359.000000000
1694534498.747371,174000.000000000,417146.000000000
1694534498.772908,175000.000000000,246204.000000000
1694534498.797985,176000.000000000,262351.000000000
1694534498.820769,177000.000000000,235684.000000000
1694534498.848597,178000.000000000,379749.000000000
1694534498.870176,179000.000000000,243912.000000000
1694534498.896050,180000.000000000,232870.000000000
1694534498.922876,181000.000000000,229120.000000000
1694534498.948972,182000.000000000,397406.000000000
1694534498.983223,183000.000000000,239485.000000000
1694534498.995033,184000.000000000,241100.000000000
1694534499.020604,185000.000000000,251569.000000000
1694534499.045845,186000.000000000,398604.000000000
1694534499.071771,187000.000000000,261204.000000000
1694534499.097107,188000.000000000,232714.000000000
1694534499.122253,189000.000000000,225631.000000000
1694534499.149301,190000.000000000,396624.000000000
1694534499.174621,191000.000000000,243235.000000000
1694534499.200553,192000.000000000,235058.000000000
1694534499.226345,193000.000000000,260840.000000000
1694534499.257718,194000.000000000,386000.000000000
1694534499.278284,195000.000000000,248548.000000000
1694534499.304705,196000.000000000,242714.000000000
1694534499.330465,197000.000000000,231516.000000000
1694534499.358267,198000.000000000,453918.000000000
1694534499.383587,199000.000000000,309904.000000000
1694534499.409788,200000.000000000,321415.000000000
1694534499.436874,201000.000000000,308966.000000000
1694534499.463306,202000.000000000,389958.000000000
1694534499.490089,203000.000000000,278392.000000000
1694534499.517176,204000.000000000,258496.000000000
1694534499.544185,205000.000000000,254121.000000000
1694534499.570890,206000.000000000,212505.000000000
1694534499.598902,207000.000000000,488450.000000000
1694534499.625269,208000.000000000,248808.000000000
1694534499.652157,209000.000000000,244329.000000000
1694534499.680450,210000.000000000,187713.000000000
1694534499.707713,211000.000000000,455949.000000000
1694534499.735080,212000.000000000,254642.000000000
1694534499.762008,213000.000000000,257350.000000000
1694534499.789389,214000.000000000,198390.000000000
1694534499.818947,215000.000000000,518607.000000000
1694534499.846602,216000.000000000,260788.000000000
1694534499.874370,217000.000000000,202661.000000000
1694534499.901808,218000.000000000,269798.000000000
1694534499.929823,219000.000000000,436678.000000000
1694534499.958091,220000.000000000,265268.000000000
1694534499.986217,221000.000000000,205526.000000000
1694534500.014198,222000.000000000,232558.000000000
1694534500.044128,223000.000000000,410896.000000000
1694534500.074894,224000.000000000,264798.000000000
1694534500.099464,225000.000000000,225422.000000000
1694534500.128905,226000.000000000,230110.000000000
1694534500.157053,227000.000000000,466419.000000000
1694534500.185668,228000.000000000,241152.000000000
1694534500.213449,229000.000000000,224954.000000000
1694534500.244274,230000.000000000,224225.000000000
1694534500.272105,231000.000000000,419750.000000000
1694534500.300815,232000.000000000,249382.000000000
1694534500.329187,233000.000000000,205735.000000000
1694534500.359189,234000.000000000,283862.000000000
1694534500.388946,235000.000000000,462616.000000000
1694534500.418005,236000.000000000,294486.000000000
1694534500.450602,237000.000000000,269486.000000000
1694534500.476747,238000.000000000,228443.000000000
1694534500.506727,239000.000000000,467095.000000000
1694534500.536576,240000.000000000,238183.000000000
1694534500.566583,241000.000000000,290528.000000000
1694534500.595411,242000.000000000,244746.000000000
1694534500.625459,243000.000000000,469335.000000000
1694534500.657149,244000.000000000,218912.000000000
1694534500.695684,245000.000000000,270007.000000000
1694534500.715609,246000.000000000,212245.000000000
1694534500.760680,247000.000000000,488867.000000000
1694534500.775936,248000.000000000,221464.000000000
1694534500.806949,249000.000000000,276413.000000000
1694534500.837100,250000.000000000,219641.000000000
1694534500.867738,251000.000000000,211464.000000000
1694534500.898070,252000.000000000,460897.000000000
1694534500.928773,253000.000000000,297351.000000000
1694534500.959927,254000.000000000,212193.000000000
1694534500.990672,255000.000000000,207193.000000000
1694534501.022232,256000.000000000,466210.000000000
1694534501.052848,257000.000000000,269955.000000000
1694534501.083922,258000.000000000,205838.000000000
1694534501.114823,259000.000000000,207349.000000000
1694534501.146443,260000.000000000,450689.000000000
1694534501.178371,261000.000000000,257507.000000000
1694534501.209348,262000.000000000,192557.000000000
1694534501.240501,263000.000000000,252402.000000000
1694534501.272452,264000.000000000,404697.000000000
1694534501.304752,265000.000000000,291049.000000000
1694534501.335892,266000.000000000,198703.000000000
1694534501.367601,267000.000000000,257610.000000000
1694534501.399766,268000.000000000,405271.000000000
1694534501.432586,269000.000000000,274121.000000000
1694534501.463888,270000.000000000,193911.000000000
1694534501.496001,271000.000000000,234746.000000000
1694534501.528281,272000.000000000,411729.000000000
1694534501.560847,273000.000000000,244329.000000000
1694534501.595274,274000.000000000,197037.000000000
1694534501.627795,275000.000000000,197557.000000000
1694534501.658929,276000.000000000,405167.000000000
1694534501.724823,277000.000000000,224172.000000000
1694534501.726286,278000.000000000,205318.000000000
1694534501.757510,279000.000000000,215162.000000000
1694534501.799563,280000.000000000,417615.000000000
1694534501.822512,281000.000000000,228027.000000000
1694534501.855710,282000.000000000,193547.000000000
1694534501.888588,283000.000000000,189275.000000000
1694534501.922441,284000.000000000,435636.000000000
1694534501.955474,285000.000000000,221516.000000000
1694534501.988990,286000.000000000,193442.000000000
1694534502.022251,287000.000000000,199588.000000000
1694534502.056074,288000.000000000,428760.000000000
1694534502.089464,289000.000000000,211516.000000000
1694534502.124059,290000.000000000,216307.000000000
1694534502.158095,291000.000000000,211256.000000000
1694534502.192290,292000.000000000,146410.000000000
1694534502.229211,293000.000000000,526471.000000000
1694534502.260482,294000.000000000,207609.000000000
1694534502.294352,295000.000000000,184379.000000000
1694534502.329976,296000.000000000,146202.000000000
1694534502.363206,297000.000000000,651319.000000000
1694534502.397549,298000.000000000,250423.000000000
1694534502.431887,299000.000000000,243131.000000000
1694534502.466493,300000.000000000,137816.000000000
1694534502.500221,301000.000000000,471054.000000000
1694534502.535560,302000.000000000,261048.000000000
1694534502.570277,303000.000000000,225475.000000000
1694534502.605163,304000.000000000,230631.000000000
1694534502.639888,305000.000000000,430272.000000000
1694534502.674375,306000.000000000,217401.000000000
1694534502.708993,307000.000000000,168129.000000000
1694534502.744975,308000.000000000,193494.000000000
1694534502.779949,309000.000000000,424178.000000000
1694534502.817064,310000.000000000,200578.000000000
1694534502.851350,311000.000000000,178494.000000000
1694534502.887349,312000.000000000,175317.000000000
1694534502.921965,313000.000000000,417511.000000000
1694534502.957885,314000.000000000,211828.000000000
1694534503.018301,315000.000000000,168598.000000000
1694534503.029186,316000.000000000,176098.000000000
1694534503.064649,317000.000000000,458397.000000000
1694534503.100888,318000.000000000,208651.000000000
1694534503.137855,319000.000000000,177348.000000000
1694534503.173779,320000.000000000,226985.000000000
1694534503.210295,321000.000000000,421000.000000000
1694534503.250505,322000.000000000,196359.000000000
1694534503.282679,323000.000000000,167244.000000000
1694534503.319765,324000.000000000,175422.000000000
1694534503.356180,325000.000000000,504752.000000000
1694534503.392817,326000.000000000,260632.000000000
1694534503.429235,327000.000000000,232297.000000000
1694534503.466141,328000.000000000,208756.000000000
1694534503.503131,329000.000000000,444803.000000000
1694534503.540504,330000.000000000,197609.000000000
1694534503.577505,331000.000000000,192297.000000000
1694534503.613312,332000.000000000,210735.000000000
1694534503.651615,333000.000000000,143285.000000000
1694534503.689311,334000.000000000,520430.000000000
1694534503.772780,335000.000000000,216255.000000000
1694534503.772832,336000.000000000,192870.000000000
1694534503.801330,337000.000000000,220526.000000000
1694534503.839278,338000.000000000,584546.000000000
1694534503.878866,339000.000000000,205109.000000000
1694534503.916486,340000.000000000,168598.000000000
1694534503.954447,341000.000000000,143754.000000000
1694534503.993645,342000.000000000,546576.000000000
1694534504.030671,343000.000000000,210631.000000000
1694534504.070037,344000.000000000,183911.000000000
1694534504.106967,345000.000000000,176202.000000000
1694534504.145564,346000.000000000,465428.000000000
1694534504.182992,347000.000000000,199901.000000000
1694534504.220927,348000.000000000,190317.000000000
1694534504.259360,349000.000000000,185004.000000000
1694534504.297246,350000.000000000,451990.000000000
1694534504.337177,351000.000000000,182245.000000000
1694534504.378978,352000.000000000,181411.000000000
1694534504.420140,353000.000000000,208286.000000000
1694534504.454644,354000.000000000,459283.000000000
1694534504.498402,355000.000000000,215630.000000000
1694534504.533584,356000.000000000,260007.000000000
1694534504.569412,357000.000000000,221047.000000000
1694534504.630247,358000.000000000,553035.000000000
1694534504.649009,359000.000000000,257662.000000000
1694534504.688974,360000.000000000,230162.000000000
1694534504.726874,361000.000000000,238184.000000000
1694534504.767112,362000.000000000,533347.000000000
1694534504.807498,363000.000000000,262350.000000000
1694534504.848119,364000.000000000,245059.000000000
1694534504.888904,365000.000000000,231047.000000000
1694534504.931864,366000.000000000,519649.000000000
1694534504.966432,367000.000000000,259174.000000000
1694534505.006640,368000.000000000,240059.000000000
1694534505.045603,369000.000000000,247975.000000000
1694534505.086103,370000.000000000,529076.000000000
1694534505.127003,371000.000000000,295528.000000000
1694534505.167813,372000.000000000,242454.000000000
1694534505.207183,373000.000000000,246621.000000000
1694534505.248499,374000.000000000,590744.000000000
1694534505.291197,375000.000000000,285789.000000000
1694534505.332536,376000.000000000,243391.000000000
1694534505.371269,377000.000000000,242819.000000000
1694534505.412130,378000.000000000,169066.000000000
1694534505.453585,379000.000000000,647933.000000000
1694534505.494011,380000.000000000,252037.000000000
1694534505.534733,381000.000000000,242714.000000000
1694534505.575906,382000.000000000,165942.000000000
1694534505.618272,383000.000000000,610641.000000000
1694534505.659128,384000.000000000,243600.000000000
1694534505.700276,385000.000000000,212402.000000000
1694534505.743414,386000.000000000,165264.000000000
1694534505.784078,387000.000000000,593348.000000000
1694534505.825616,388000.000000000,295736.000000000
1694534505.866932,389000.000000000,217298.000000000
1694534505.908454,390000.000000000,234849.000000000
1694534505.951491,391000.000000000,532982.000000000
1694534505.992096,392000.000000000,262299.000000000
1694534506.034189,393000.000000000,242193.000000000
1694534506.076251,394000.000000000,255111.000000000
1694534506.118632,395000.000000000,544284.000000000
1694534506.160735,396000.000000000,275060.000000000
1694534506.203976,397000.000000000,233235.000000000
1694534506.252494,398000.000000000,239589.000000000
1694534506.291270,399000.000000000,558972.000000000
1694534506.334546,400000.000000000,243027.000000000
1694534506.376974,401000.000000000,234537.000000000
1694534506.419056,402000.000000000,232454.000000000
1694534506.463619,403000.000000000,516159.000000000
1694534506.504248,404000.000000000,247142.000000000
1694534506.547244,405000.000000000,369697.000000000
1694534506.590498,406000.000000000,287768.000000000
1694534506.633925,407000.000000000,504648.000000000
1694534506.679218,408000.000000000,243756.000000000
1694534506.723689,409000.000000000,237819.000000000
1694534506.764308,410000.000000000,231777.000000000
1694534506.807129,411000.000000000,525690.000000000
1694534506.850624,412000.000000000,245371.000000000
1694534506.893729,413000.000000000,239329.000000000
1694534506.940562,414000.000000000,213495.000000000
1694534506.981228,415000.000000000,510586.000000000
1694534507.026412,416000.000000000,258288.000000000
1694534507.070510,417000.000000000,226933.000000000
1694534507.113242,418000.000000000,227349.000000000
1694534507.157981,419000.000000000,148962.000000000
1694534507.202359,420000.000000000,600901.000000000
1694534507.261432,421000.000000000,249590.000000000
1694534507.294618,422000.000000000,232141.000000000
1694534507.361095,423000.000000000,190005.000000000
1694534507.380386,424000.000000000,622307.000000000
1694534507.425044,425000.000000000,241308.000000000
1694534507.468995,426000.000000000,238392.000000000
1694534507.514718,427000.000000000,167973.000000000
1694534507.559345,428000.000000000,626370.000000000
1694534507.605462,429000.000000000,247246.000000000
1694534507.654223,430000.000000000,229954.000000000
1694534507.693203,431000.000000000,234121.000000000
1694534507.741178,432000.000000000,510690.000000000
1694534507.783969,433000.000000000,243860.000000000
1694534507.830241,434000.000000000,226985.000000000
1694534507.874584,435000.000000000,219537.000000000
1694534507.921927,436000.000000000,505586.000000000
1694534507.966375,437000.000000000,245319.000000000
1694534508.013743,438000.000000000,225214.000000000
1694534508.057336,439000.000000000,216411.000000000
1694534508.103710,440000.000000000,552045.000000000
1694534508.152594,441000.000000000,243027.000000000
1694534508.196236,442000.000000000,236725.000000000
1694534508.241187,443000.000000000,238548.000000000
1694534508.289503,444000.000000000,538451.000000000
1694534508.334546,445000.000000000,241256.000000000
1694534508.382525,446000.000000000,252559.000000000
1694534508.427156,447000.000000000,233444.000000000
1694534508.475788,448000.000000000,516679.000000000
1694534508.520957,449000.000000000,245527.000000000
1694534508.568386,450000.000000000,246100.000000000
1694534508.613799,451000.000000000,277299.000000000
1694534508.662146,452000.000000000,620328.000000000
1694534508.709078,453000.000000000,268496.000000000
1694534508.755727,454000.000000000,243652.000000000
1694534508.802274,455000.000000000,266829.000000000
1694534508.852018,456000.000000000,605484.000000000
1694534508.897825,457000.000000000,266153.000000000
1694534508.946151,458000.000000000,261725.000000000
1694534508.992419,459000.000000000,255788.000000000
1694534509.046907,460000.000000000,576890.000000000
1694534509.087911,461000.000000000,274486.000000000
1694534509.135151,462000.000000000,240683.000000000
1694534509.182582,463000.000000000,234537.000000000
1694534509.230670,464000.000000000,171827.000000000
1694534509.282114,465000.000000000,686788.000000000
1694534509.325564,466000.000000000,262715.000000000
1694534509.374477,467000.000000000,233860.000000000
1694534509.476803,468000.000000000,155212.000000000
1694534509.476901,469000.000000000,691997.000000000
1694534509.519435,470000.000000000,359124.000000000
1694534509.566312,471000.000000000,273289.000000000
1694534509.615710,472000.000000000,183546.000000000
1694534509.664504,473000.000000000,686320.000000000
1694534509.712459,474000.000000000,268027.000000000
1694534509.760830,475000.000000000,242819.000000000
1694534509.809193,476000.000000000,271882.000000000
1694534509.859007,477000.000000000,652256.000000000
1694534509.909303,478000.000000000,279487.000000000
1694534509.955057,479000.000000000,254537.000000000
1694534510.012000,480000.000000000,253548.000000000
1694534510.053291,481000.000000000,624912.000000000
1694534510.101829,482000.000000000,267715.000000000
1694534510.152879,483000.000000000,247506.000000000
1694534510.201748,484000.000000000,233600.000000000
1694534510.250505,485000.000000000,614078.000000000
1694534510.300440,486000.000000000,273757.000000000
1694534510.350235,487000.000000000,239173.000000000
1694534510.401406,488000.000000000,233392.000000000
1694534510.450147,489000.000000000,581838.000000000
1694534510.500222,490000.000000000,264382.000000000
1694534510.550104,491000.000000000,324644.000000000
1694534510.599887,492000.000000000,332821.000000000
1694534510.649301,493000.000000000,624078.000000000
1694534510.700469,494000.000000000,293393.000000000
1694534510.751490,495000.000000000,241829.000000000
1694534510.801674,496000.000000000,236412.000000000
1694534510.851983,497000.000000000,629912.000000000
1694534510.902739,498000.000000000,257454.000000000
1694534510.952926,499000.000000000,245788.000000000
1694534511.003227,500000.000000000,270059.000000000
1694534511.054073,501000.000000000,718039.000000000
1694534511.105526,502000.000000000,279122.000000000
1694534511.156176,503000.000000000,241569.000000000
1694534511.205862,504000.000000000,243965.000000000
1694534511.257067,505000.000000000,179484.000000000
1694534511.309720,506000.000000000,719758.000000000
1694534511.360243,507000.000000000,275268.000000000
1694534511.411720,508000.000000000,292716.000000000
1694534511.462801,509000.000000000,169015.000000000
1694534511.515498,510000.000000000,729446.000000000
1694534511.565786,511000.000000000,282612.000000000
1694534511.618265,512000.000000000,205266.000000000
1694534511.669893,513000.000000000,167296.000000000
1694534511.721982,514000.000000000,780020.000000000
1694534511.772603,515000.000000000,270475.000000000
1694534511.825683,516000.000000000,246829.000000000
1694534511.877719,517000.000000000,311050.000000000
1694534511.930193,518000.000000000,627568.000000000
1694534511.982370,519000.000000000,264798.000000000
1694534512.093044,520000.000000000,242402.000000000
1694534512.093115,521000.000000000,268652.000000000
1694534512.139261,522000.000000000,770019.000000000
1694534512.190809,523000.000000000,263393.000000000
1694534512.245250,524000.000000000,250319.000000000
1694534512.296933,525000.000000000,261726.000000000
1694534512.349916,526000.000000000,686163.000000000
1694534512.403666,527000.000000000,274434.000000000
1694534512.455298,528000.000000000,251829.000000000
1694534512.507932,529000.000000000,280320.000000000
1694534512.561757,530000.000000000,665537.000000000
1694534512.616022,531000.000000000,295997.000000000
1694534512.669846,532000.000000000,243339.000000000
1694534512.721991,533000.000000000,253548.000000000
1694534512.776958,534000.000000000,637412.000000000
1694534512.829881,535000.000000000,261986.000000000
1694534512.883892,536000.000000000,277611.000000000
1694534512.937659,537000.000000000,251725.000000000
1694534512.991460,538000.000000000,681215.000000000
1694534513.046727,539000.000000000,304383.000000000
1694534513.098699,540000.000000000,246308.000000000
1694534513.153188,541000.000000000,243392.000000000
1694534513.208048,542000.000000000,675538.000000000
1694534513.262205,543000.000000000,272819.000000000
1694534513.316275,544000.000000000,238860.000000000
1694534513.372233,545000.000000000,249121.000000000
1694534513.435531,546000.000000000,719862.000000000
1694534513.481093,547000.000000000,296414.000000000
1694534513.536275,548000.000000000,254590.000000000
1694534513.594550,549000.000000000,254851.000000000
1694534513.646060,550000.000000000,171567.000000000
1694534513.700252,551000.000000000,744394.000000000
1694534513.754225,552000.000000000,292872.000000000
1694534513.810078,553000.000000000,267664.000000000
1694534513.863815,554000.000000000,166671.000000000
1694534513.920284,555000.000000000,768353.000000000
1694534513.975117,556000.000000000,291413.000000000
1694534514.030320,557000.000000000,241152.000000000
1694534514.085172,558000.000000000,164327.000000000
1694534514.141100,559000.000000000,765124.000000000
1694534514.196555,560000.000000000,270893.000000000
1694534514.251968,561000.000000000,245840.000000000
1694534514.307603,562000.000000000,244485.000000000
1694534514.363209,563000.000000000,646214.000000000
1694534514.419284,564000.000000000,263965.000000000
1694534514.474207,565000.000000000,201984.000000000
1694534514.530944,566000.000000000,306726.000000000
1694534514.587449,567000.000000000,741790.000000000
1694534514.645141,568000.000000000,274747.000000000
1694534514.699546,569000.000000000,249382.000000000
1694534514.755719,570000.000000000,248496.000000000
1694534514.812477,571000.000000000,693716.000000000
1694534514.869157,572000.000000000,270215.000000000
1694534514.924445,573000.000000000,274226.000000000
1694534514.983824,574000.000000000,245892.000000000
1694534515.044093,575000.000000000,682726.000000000
1694534515.097995,576000.000000000,286362.000000000
1694534515.153955,577000.000000000,235787.000000000
1694534515.212479,578000.000000000,246934.000000000
1694534515.269415,579000.000000000,682935.000000000
1694534515.327042,580000.000000000,269382.000000000
1694534515.382587,581000.000000000,247350.000000000
1694534515.439068,582000.000000000,248132.000000000
1694534515.498169,583000.000000000,732675.000000000
1694534515.554920,584000.000000000,270892.000000000
1694534515.612635,585000.000000000,282351.000000000
1694534515.670328,586000.000000000,248495.000000000
1694534515.729914,587000.000000000,674549.000000000
1694534515.787188,588000.000000000,277871.000000000
1694534515.844606,589000.000000000,254017.000000000
1694534515.900682,590000.000000000,223183.000000000
1694534515.960773,591000.000000000,148754.000000000
1694534516.017847,592000.000000000,800229.000000000
1694534516.076001,593000.000000000,274954.000000000
1694534516.135302,594000.000000000,246412.000000000
1694534516.192494,595000.000000000,155161.000000000
1694534516.254102,596000.000000000,803874.000000000
1694534516.310284,597000.000000000,287559.000000000
1694534516.368368,598000.000000000,250579.000000000
1694534516.427392,599000.000000000,146931.000000000
1694534516.485242,600000.000000000,825438.000000000
1694534516.546129,601000.000000000,273184.000000000
1694534516.602812,602000.000000000,226203.000000000
1694534516.663286,603000.000000000,239485.000000000
1694534516.722166,604000.000000000,749603.000000000
1694534516.782023,605000.000000000,253496.000000000
1694534516.838978,606000.000000000,249798.000000000
1694534516.899534,607000.000000000,240371.000000000
