__time,/count,/rtt
1694535087.574485,2000.000000000,2172555.000000000
1694535087.587527,3000.000000000,1098101.000000000
1694535087.597202,4000.000000000,428396.000000000
1694535087.608606,5000.000000000,391677.000000000
1694535087.624362,6000.000000000,794603.000000000
1694535087.636506,7000.000000000,1492277.000000000
1694535087.647960,8000.000000000,397979.000000000
1694535087.661800,9000.000000000,408292.000000000
1694535087.672621,10000.000000000,1476235.000000000
1694535087.686350,11000.000000000,1645354.000000000
1694535087.699057,12000.000000000,286153.000000000
1694535087.708970,13000.000000000,270423.000000000
1694535087.720925,14000.000000000,320477.000000000
1694535087.733824,15000.000000000,1014348.000000000
1694535087.749652,16000.000000000,361988.000000000
1694535087.759968,17000.000000000,943253.000000000
1694535087.771278,18000.000000000,293132.000000000
1694535087.784711,19000.000000000,942888.000000000
1694535087.797101,20000.000000000,1167009.000000000
1694535087.809408,21000.000000000,277507.000000000
1694535087.821289,22000.000000000,277090.000000000
1694535087.836624,23000.000000000,240579.000000000
1694535087.850998,24000.000000000,288184.000000000
1694535087.858974,25000.000000000,238652.000000000
1694535087.873755,26000.000000000,273653.000000000
1694535087.884056,27000.000000000,218078.000000000
1694535087.896732,28000.000000000,262142.000000000
1694535087.909728,29000.000000000,248912.000000000
1694535087.922533,30000.000000000,265840.000000000
1694535087.938027,31000.000000000,231673.000000000
1694535087.952251,32000.000000000,250215.000000000
1694535087.961454,33000.000000000,257195.000000000
1694535087.975909,34000.000000000,272976.000000000
1694535087.987912,35000.000000000,309123.000000000
1694535088.002430,36000.000000000,334644.000000000
1694535088.015031,37000.000000000,292456.000000000
1694535088.029817,38000.000000000,335738.000000000
1694535088.042418,39000.000000000,324279.000000000
1694535088.057184,40000.000000000,324279.000000000
1694535088.069478,41000.000000000,310789.000000000
1694535088.084744,42000.000000000,291465.000000000
1694535088.097039,43000.000000000,248339.000000000
1694535088.112189,44000.000000000,295685.000000000
1694535088.125056,45000.000000000,277872.000000000
1694535088.142371,46000.000000000,287508.000000000
1694535088.157250,47000.000000000,270475.000000000
1694535088.168965,48000.000000000,334279.000000000
1694535088.184296,49000.000000000,284278.000000000
1694535088.199800,50000.000000000,316101.000000000
1694535088.214502,51000.000000000,272091.000000000
1694535088.229117,52000.000000000,335842.000000000
1694535088.243961,53000.000000000,332821.000000000
1694535088.259501,54000.000000000,297352.000000000
1694535088.273402,55000.000000000,296935.000000000
1694535088.288291,56000.000000000,280476.000000000
1694535088.303492,57000.000000000,282299.000000000
1694535088.318466,58000.000000000,284955.000000000
1694535088.333521,59000.000000000,298654.000000000
1694535088.349017,60000.000000000,308550.000000000
1694535088.365842,61000.000000000,294487.000000000
1694535088.379991,62000.000000000,300737.000000000
1694535088.395578,63000.000000000,283392.000000000
1694535088.411412,64000.000000000,292142.000000000
1694535088.427164,65000.000000000,283341.000000000
1694535088.442742,66000.000000000,300059.000000000
1694535088.459793,67000.000000000,277820.000000000
1694535088.477191,68000.000000000,285320.000000000
1694535088.493348,69000.000000000,279799.000000000
1694535088.510013,70000.000000000,341727.000000000
1694535088.527142,71000.000000000,280476.000000000
1694535088.542222,72000.000000000,312977.000000000
1694535088.558366,73000.000000000,291258.000000000
1694535088.574879,74000.000000000,325373.000000000
1694535088.591089,75000.000000000,283549.000000000
1694535088.607961,76000.000000000,302299.000000000
1694535088.624805,77000.000000000,274538.000000000
1694535088.641294,78000.000000000,231047.000000000
1694535088.659949,79000.000000000,623922.000000000
1694535088.676360,80000.000000000,289278.000000000
1694535088.693399,81000.000000000,268184.000000000
1694535088.719187,82000.000000000,293236.000000000
1694535088.727283,83000.000000000,272976.000000000
1694535088.746235,84000.000000000,269799.000000000
1694535088.763101,85000.000000000,255423.000000000
1694535088.779540,86000.000000000,285789.000000000
1694535088.797347,87000.000000000,231307.000000000
1694535088.814574,88000.000000000,252923.000000000
1694535088.831559,89000.000000000,220161.000000000
1694535088.849419,90000.000000000,264798.000000000
1694535088.866450,91000.000000000,243184.000000000
1694535088.885601,92000.000000000,241204.000000000
1694535088.902068,93000.000000000,157088.000000000
1694535088.920290,94000.000000000,210110.000000000
1694535088.938474,95000.000000000,228026.000000000
1694535088.956175,96000.000000000,258965.000000000
1694535088.976045,97000.000000000,227506.000000000
1694535088.993129,98000.000000000,255423.000000000
1694535089.011744,99000.000000000,217193.000000000
1694535089.032153,100000.000000000,260267.000000000
1694535089.050488,101000.000000000,217349.000000000
1694535089.070027,102000.000000000,240892.000000000
1694535089.090624,103000.000000000,217870.000000000
1694535089.109410,104000.000000000,231776.000000000
1694535089.130136,105000.000000000,210891.000000000
1694535089.150643,106000.000000000,247141.000000000
1694535089.170595,107000.000000000,259381.000000000
1694535089.189617,108000.000000000,241204.000000000
1694535089.209376,109000.000000000,222714.000000000
1694535089.230111,110000.000000000,238704.000000000
1694535089.261221,111000.000000000,223339.000000000
1694535089.270303,112000.000000000,245891.000000000
1694535089.289377,113000.000000000,225995.000000000
1694535089.309619,114000.000000000,251725.000000000
1694535089.331468,115000.000000000,232558.000000000
1694535089.350269,116000.000000000,246934.000000000
1694535089.376303,117000.000000000,237037.000000000
1694535089.391507,118000.000000000,292143.000000000
1694535089.411013,119000.000000000,254277.000000000
1694535089.430959,120000.000000000,237922.000000000
1694535089.453185,121000.000000000,214693.000000000
1694535089.471150,122000.000000000,246777.000000000
1694535089.494786,123000.000000000,241724.000000000
1694535089.514230,124000.000000000,236308.000000000
1694535089.532863,125000.000000000,189380.000000000
1694535089.553444,126000.000000000,245579.000000000
1694535089.574934,127000.000000000,246413.000000000
1694535089.595356,128000.000000000,390999.000000000
1694535089.616210,129000.000000000,293132.000000000
1694535089.638148,130000.000000000,254538.000000000
1694535089.657371,131000.000000000,248131.000000000
1694535089.678510,132000.000000000,241048.000000000
1694535089.702257,133000.000000000,285320.000000000
1694535089.720580,134000.000000000,290997.000000000
1694535089.742190,135000.000000000,417094.000000000
1694535089.763538,136000.000000000,314904.000000000
1694535089.784985,137000.000000000,226516.000000000
1694535089.806656,138000.000000000,278184.000000000
1694535089.829329,139000.000000000,426313.000000000
1694535089.849880,140000.000000000,302664.000000000
1694535089.871408,141000.000000000,217037.000000000
1694535089.893248,142000.000000000,300060.000000000
1694535089.915679,143000.000000000,421417.000000000
1694535089.937729,144000.000000000,292455.000000000
1694535089.959009,145000.000000000,224693.000000000
1694535089.982244,146000.000000000,280216.000000000
1694535090.003476,147000.000000000,451626.000000000
1694535090.025318,148000.000000000,312248.000000000
1694535090.048211,149000.000000000,210786.000000000
1694535090.070690,150000.000000000,276986.000000000
1694535090.092682,151000.000000000,288497.000000000
1694535090.115587,152000.000000000,435584.000000000
1694535090.138804,153000.000000000,385478.000000000
1694535090.161473,154000.000000000,304123.000000000
1694535090.183485,155000.000000000,261100.000000000
1694535090.207731,156000.000000000,300841.000000000
1694535090.232064,157000.000000000,232767.000000000
1694535090.253288,158000.000000000,314383.000000000
1694535090.277723,159000.000000000,256360.000000000
1694535090.300916,160000.000000000,690955.000000000
1694535090.323684,161000.000000000,395895.000000000
1694535090.346587,162000.000000000,301154.000000000
1694535090.370112,163000.000000000,262090.000000000
1694535090.394995,164000.000000000,312664.000000000
1694535090.418627,165000.000000000,215370.000000000
1694535090.440798,166000.000000000,287611.000000000
1694535090.464958,167000.000000000,289018.000000000
1694535090.488946,168000.000000000,516316.000000000
1694535090.513055,169000.000000000,386364.000000000
1694535090.538927,170000.000000000,321674.000000000
1694535090.562237,171000.000000000,265840.000000000
1694535090.586785,172000.000000000,310738.000000000
1694535090.610471,173000.000000000,227089.000000000
1694535090.634230,174000.000000000,288809.000000000
1694535090.658741,175000.000000000,262350.000000000
1694535090.683351,176000.000000000,470012.000000000
1694535090.710262,177000.000000000,260996.000000000
1694535090.733368,178000.000000000,231047.000000000
1694535090.757050,179000.000000000,262559.000000000
1694535090.784463,180000.000000000,495846.000000000
1694535090.809765,181000.000000000,271466.000000000
1694535090.834730,182000.000000000,228131.000000000
1694535090.856725,183000.000000000,258861.000000000
1694535090.884849,184000.000000000,475949.000000000
1694535090.928490,185000.000000000,263653.000000000
1694535090.953926,186000.000000000,245371.000000000
1694535090.967972,187000.000000000,258288.000000000
1694535091.007193,188000.000000000,487251.000000000
1694535091.023657,189000.000000000,267923.000000000
1694535091.050502,190000.000000000,228027.000000000
1694535091.065892,191000.000000000,247506.000000000
1694535091.098500,192000.000000000,527826.000000000
1694535091.120861,193000.000000000,282403.000000000
1694535091.146084,194000.000000000,224432.000000000
1694535091.170531,195000.000000000,255006.000000000
1694535091.204449,196000.000000000,287091.000000000
1694535091.220201,197000.000000000,474231.000000000
