__time,/count,/rtt
1694537617.217403,1000.000000000,2449905.000000000
1694537617.228327,2000.000000000,811687.000000000
1694537617.243012,3000.000000000,1383420.000000000
1694537617.254635,4000.000000000,1019453.000000000
1694537617.268658,5000.000000000,1449933.000000000
1694537617.282095,6000.000000000,1433994.000000000
1694537617.297427,7000.000000000,3490869.000000000
1694537617.312110,8000.000000000,1511809.000000000
1694537617.325466,9000.000000000,1396702.000000000
1694537617.338860,10000.000000000,680746.000000000
1694537617.354595,11000.000000000,1615301.000000000
1694537617.370183,12000.000000000,673611.000000000
1694537617.387444,13000.000000000,666735.000000000
1694537617.401851,14000.000000000,499857.000000000
1694537617.420637,15000.000000000,991067.000000000
1694537617.432801,16000.000000000,578816.000000000
1694537617.445311,17000.000000000,653402.000000000
1694537617.463356,18000.000000000,612880.000000000
1694537617.482141,19000.000000000,583348.000000000
1694537617.498972,20000.000000000,859761.000000000
1694537617.514830,21000.000000000,826218.000000000
1694537617.529984,22000.000000000,760228.000000000
1694537617.550193,23000.000000000,415948.000000000
1694537617.566394,24000.000000000,520378.000000000
1694537617.585815,25000.000000000,630016.000000000
1694537617.600922,26000.000000000,604546.000000000
1694537617.618484,27000.000000000,597202.000000000
1694537617.638623,28000.000000000,762103.000000000
1694537617.651943,29000.000000000,377093.000000000
1694537617.670374,30000.000000000,463709.000000000
1694537617.685949,31000.000000000,588609.000000000
1694537617.705433,32000.000000000,392614.000000000
1694537617.725052,33000.000000000,570223.000000000
1694537617.743858,34000.000000000,620276.000000000
1694537617.764432,35000.000000000,558608.000000000
1694537617.786966,36000.000000000,685226.000000000
1694537617.803467,37000.000000000,603296.000000000
1694537617.823354,38000.000000000,515950.000000000
1694537617.842688,39000.000000000,441522.000000000
1694537617.861312,40000.000000000,484283.000000000
1694537617.878410,41000.000000000,498242.000000000
1694537617.898686,42000.000000000,500013.000000000
1694537617.918004,43000.000000000,498294.000000000
1694537617.936834,44000.000000000,453553.000000000
1694537617.957899,45000.000000000,519127.000000000
1694537618.009380,46000.000000000,401886.000000000
1694537618.009436,47000.000000000,419698.000000000
1694537618.014818,48000.000000000,394333.000000000
1694537618.034853,49000.000000000,355686.000000000
1694537618.049604,50000.000000000,307039.000000000
1694537618.069061,51000.000000000,517878.000000000
1694537618.086205,52000.000000000,409750.000000000
1694537618.104279,53000.000000000,425792.000000000
1694537618.124295,54000.000000000,437667.000000000
1694537618.146702,55000.000000000,466053.000000000
1694537618.168109,56000.000000000,432407.000000000
1694537618.188574,57000.000000000,422355.000000000
1694537618.209779,58000.000000000,459387.000000000
1694537618.224438,59000.000000000,553399.000000000
1694537618.239406,60000.000000000,360634.000000000
1694537618.257063,61000.000000000,471470.000000000
1694537618.275321,62000.000000000,432094.000000000
1694537618.290061,63000.000000000,435740.000000000
1694537618.310595,64000.000000000,391000.000000000
1694537618.329611,65000.000000000,565743.000000000
1694537618.350116,66000.000000000,494647.000000000
1694537618.372850,67000.000000000,434542.000000000
1694537618.393214,68000.000000000,505898.000000000
1694537618.416903,69000.000000000,365634.000000000
1694537618.439458,70000.000000000,322091.000000000
1694537618.461468,71000.000000000,412666.000000000
1694537618.483814,72000.000000000,472200.000000000
1694537618.502234,73000.000000000,457355.000000000
1694537618.523321,74000.000000000,447303.000000000
1694537618.545329,75000.000000000,764394.000000000
1694537618.566086,76000.000000000,394228.000000000
1694537618.586728,77000.000000000,461158.000000000
1694537618.602382,78000.000000000,415375.000000000
1694537618.625348,79000.000000000,487773.000000000
1694537618.649000,80000.000000000,406052.000000000
1694537618.673114,81000.000000000,443917.000000000
1694537618.699128,82000.000000000,415167.000000000
1694537618.717908,83000.000000000,448397.000000000
1694537618.738386,84000.000000000,471783.000000000
1694537618.759180,85000.000000000,605797.000000000
1694537618.777970,86000.000000000,452199.000000000
1694537618.800128,87000.000000000,457303.000000000
1694537618.821370,88000.000000000,318706.000000000
1694537618.840825,89000.000000000,509544.000000000
1694537618.863714,90000.000000000,445116.000000000
1694537618.885887,91000.000000000,377457.000000000
1694537618.905891,92000.000000000,550014.000000000
1694537618.928471,93000.000000000,357561.000000000
1694537618.953472,94000.000000000,460689.000000000
1694537618.978308,95000.000000000,427823.000000000
1694537619.002099,96000.000000000,418604.000000000
1694537619.025672,97000.000000000,350634.000000000
1694537619.047854,98000.000000000,463918.000000000
1694537619.066288,99000.000000000,458241.000000000
1694537619.085104,100000.000000000,353550.000000000
1694537619.103271,101000.000000000,342144.000000000
1694537619.121708,102000.000000000,4635.000000000
1694537619.140522,103000.000000000,308237.000000000
1694537619.159232,104000.000000000,476106.000000000
1694537619.178553,105000.000000000,483398.000000000
1694537619.209182,106000.000000000,479960.000000000
1694537619.219838,107000.000000000,475793.000000000
1694537619.237933,108000.000000000,343498.000000000
1694537619.258792,109000.000000000,514700.000000000
1694537619.284755,110000.000000000,496366.000000000
1694537619.306140,111000.000000000,490376.000000000
1694537619.326273,112000.000000000,603556.000000000
1694537619.350264,113000.000000000,402771.000000000
1694537619.366421,114000.000000000,291205.000000000
1694537619.386284,115000.000000000,404750.000000000
1694537619.407358,116000.000000000,416469.000000000
1694537619.425890,117000.000000000,407927.000000000
1694537619.446071,118000.000000000,618088.000000000
1694537619.465569,119000.000000000,416781.000000000
1694537619.486482,120000.000000000,409854.000000000
1694537619.507386,121000.000000000,440428.000000000
1694537619.528055,122000.000000000,363551.000000000
1694537619.548197,123000.000000000,319643.000000000
1694537619.568601,124000.000000000,469908.000000000
1694537619.589895,125000.000000000,465741.000000000
1694537619.609522,126000.000000000,458813.000000000
1694537619.630151,127000.000000000,444490.000000000
1694537619.651094,128000.000000000,581004.000000000
1694537619.671810,129000.000000000,548451.000000000
1694537619.692590,130000.000000000,529909.000000000
1694537619.713176,131000.000000000,405011.000000000
1694537619.734043,132000.000000000,380738.000000000
1694537619.755302,133000.000000000,519596.000000000
1694537619.776565,134000.000000000,586421.000000000
1694537619.798287,135000.000000000,497200.000000000
1694537619.821856,136000.000000000,501680.000000000
1694537619.843717,137000.000000000,650798.000000000
1694537619.867343,138000.000000000,510794.000000000
1694537619.889952,139000.000000000,467460.000000000
1694537619.917162,140000.000000000,477876.000000000
1694537619.947014,141000.000000000,684860.000000000
1694537619.962825,142000.000000000,486575.000000000
1694537619.985856,143000.000000000,462200.000000000
1694537620.012474,144000.000000000,463345.000000000
1694537620.034552,145000.000000000,614599.000000000
1694537620.064868,146000.000000000,472251.000000000
1694537620.094184,147000.000000000,460897.000000000
1694537620.117213,148000.000000000,475793.000000000
1694537620.140144,149000.000000000,577462.000000000
1694537620.161322,150000.000000000,366832.000000000
1694537620.185028,151000.000000000,519336.000000000
1694537620.208716,152000.000000000,439594.000000000
1694537620.230811,153000.000000000,636995.000000000
