__time,/count,/rtt
1694537842.606409,2000.000000000,1793267.000000000
1694537842.617432,3000.000000000,639388.000000000
1694537842.627979,4000.000000000,446624.000000000
1694537842.640564,5000.000000000,947259.000000000
1694537842.653512,6000.000000000,1296642.000000000
1694537842.665797,7000.000000000,714755.000000000
1694537842.679440,8000.000000000,1051272.000000000
1694537842.693527,9000.000000000,495218.000000000
1694537842.711351,10000.000000000,2625368.000000000
1694537842.727583,11000.000000000,426102.000000000
1694537842.742759,12000.000000000,867935.000000000
1694537842.753417,13000.000000000,334122.000000000
1694537842.767324,14000.000000000,633815.000000000
1694537842.779298,15000.000000000,369071.000000000
1694537842.791852,16000.000000000,285631.000000000
1694537842.802920,17000.000000000,449801.000000000
1694537842.815487,18000.000000000,340268.000000000
1694537842.828069,19000.000000000,5729.000000000
1694537842.842827,20000.000000000,339590.000000000
1694537842.855225,21000.000000000,509490.000000000
1694537842.870512,22000.000000000,465218.000000000
1694537842.885950,23000.000000000,499334.000000000
1694537842.903408,24000.000000000,471625.000000000
1694537842.921340,25000.000000000,450114.000000000
1694537842.941023,26000.000000000,763402.000000000
1694537842.958648,27000.000000000,523448.000000000
1694537842.975180,28000.000000000,600274.000000000
1694537842.991295,29000.000000000,444124.000000000
1694537843.006553,30000.000000000,416831.000000000
1694537843.023867,31000.000000000,575012.000000000
1694537843.039143,32000.000000000,599179.000000000
1694537843.056464,33000.000000000,516573.000000000
1694537843.074298,34000.000000000,382456.000000000
1694537843.091709,35000.000000000,650691.000000000
1694537843.109926,36000.000000000,678347.000000000
1694537843.128650,37000.000000000,565429.000000000
1694537843.145147,38000.000000000,546835.000000000
1694537843.163598,39000.000000000,485479.000000000
1694537843.184174,40000.000000000,565741.000000000
1694537843.201934,41000.000000000,591106.000000000
1694537843.224328,42000.000000000,539386.000000000
1694537843.241856,43000.000000000,401206.000000000
1694537843.254978,44000.000000000,473500.000000000
1694537843.279693,45000.000000000,406572.000000000
1694537843.293756,46000.000000000,2261037.000000000
1694537843.310184,47000.000000000,519698.000000000
1694537843.327317,48000.000000000,519751.000000000
1694537843.346653,49000.000000000,468239.000000000
1694537843.367434,50000.000000000,411987.000000000
1694537843.386656,51000.000000000,492510.000000000
1694537843.405409,52000.000000000,512667.000000000
1694537843.434443,53000.000000000,524543.000000000
1694537843.446959,54000.000000000,623815.000000000
1694537843.463188,55000.000000000,514282.000000000
1694537843.483828,56000.000000000,526730.000000000
1694537843.503377,57000.000000000,495271.000000000
1694537843.522557,58000.000000000,523084.000000000
1694537843.544471,59000.000000000,622930.000000000
1694537843.564642,60000.000000000,483760.000000000
1694537843.586009,61000.000000000,464437.000000000
1694537843.609085,62000.000000000,483552.000000000
1694537843.630407,63000.000000000,467979.000000000
1694537843.651811,64000.000000000,546939.000000000
1694537843.673752,65000.000000000,595325.000000000
1694537843.693032,66000.000000000,557772.000000000
1694537843.710358,67000.000000000,519854.000000000
1694537843.737414,68000.000000000,546365.000000000
1694537843.750491,69000.000000000,444957.000000000
1694537843.771470,70000.000000000,615534.000000000
1694537843.788272,71000.000000000,607461.000000000
1694537843.803819,72000.000000000,523136.000000000
1694537843.822084,73000.000000000,405634.000000000
1694537843.841375,74000.000000000,476051.000000000
1694537843.861416,75000.000000000,414748.000000000
1694537843.882398,76000.000000000,575690.000000000
1694537843.901069,77000.000000000,456520.000000000
1694537843.920797,78000.000000000,531522.000000000
1694537843.941104,79000.000000000,373445.000000000
1694537843.959495,80000.000000000,597617.000000000
1694537843.979870,81000.000000000,456676.000000000
1694537844.004908,82000.000000000,423602.000000000
1694537844.028648,83000.000000000,583762.000000000
1694537844.050252,84000.000000000,476625.000000000
1694537844.072236,85000.000000000,501417.000000000
1694537844.096490,86000.000000000,492562.000000000
1694537844.116933,87000.000000000,417717.000000000
1694537844.140328,88000.000000000,493864.000000000
1694537844.161398,89000.000000000,603033.000000000
1694537844.184883,90000.000000000,415633.000000000
1694537844.205047,91000.000000000,319486.000000000
1694537844.227957,92000.000000000,515896.000000000
1694537844.254285,93000.000000000,490948.000000000
1694537844.268584,94000.000000000,528344.000000000
1694537844.291969,95000.000000000,597616.000000000
1694537844.313265,96000.000000000,205369.000000000
1694537844.333501,97000.000000000,184223.000000000
1694537844.346949,98000.000000000,700067.000000000
1694537844.366712,99000.000000000,529646.000000000
1694537844.384583,100000.000000000,508292.000000000
1694537844.404754,101000.000000000,548189.000000000
1694537844.424667,102000.000000000,547303.000000000
1694537844.444597,103000.000000000,430894.000000000
1694537844.464946,104000.000000000,461833.000000000
1694537844.489994,105000.000000000,473396.000000000
1694537844.505581,106000.000000000,591211.000000000
1694537844.525689,107000.000000000,453500.000000000
1694537844.546360,108000.000000000,602148.000000000
1694537844.568208,109000.000000000,504230.000000000
1694537844.590167,110000.000000000,483395.000000000
1694537844.613349,111000.000000000,442353.000000000
1694537844.637413,112000.000000000,635534.000000000
1694537844.663132,113000.000000000,469958.000000000
1694537844.686148,114000.000000000,459906.000000000
1694537844.710783,115000.000000000,484385.000000000
1694537844.732826,116000.000000000,485322.000000000
1694537844.769805,117000.000000000,540271.000000000
1694537844.776550,118000.000000000,558345.000000000
1694537844.797915,119000.000000000,691890.000000000
1694537844.819212,120000.000000000,610846.000000000
1694537844.843310,121000.000000000,2309580.000000000
1694537844.871964,122000.000000000,433707.000000000
1694537844.895651,123000.000000000,478084.000000000
1694537844.919281,124000.000000000,575221.000000000
1694537844.943926,125000.000000000,533918.000000000
