__time,/count,/rtt
1694534667.212829,1000.000000000,3169769.000000000
1694534667.223942,2000.000000000,1252011.000000000
1694534667.235300,3000.000000000,937003.000000000
1694534667.246671,4000.000000000,198599.000000000
1694534667.259728,5000.000000000,2439697.000000000
1694534667.270697,6000.000000000,257820.000000000
1694534667.284384,7000.000000000,2536314.000000000
1694534667.298183,8000.000000000,239642.000000000
1694534667.307271,9000.000000000,1283731.000000000
1694534667.321561,10000.000000000,309383.000000000
1694534667.331763,11000.000000000,1339982.000000000
1694534667.345078,12000.000000000,23386.000000000
1694534667.357700,13000.000000000,19428.000000000
1694534667.370689,14000.000000000,19323.000000000
1694534667.383480,15000.000000000,21719.000000000
1694534667.397004,16000.000000000,21043.000000000
1694534667.410124,17000.000000000,20833.000000000
1694534667.422707,18000.000000000,4271.000000000
1694534667.436047,19000.000000000,4792.000000000
1694534667.449261,20000.000000000,19792.000000000
1694534667.463645,21000.000000000,3750.000000000
1694534667.477035,22000.000000000,4323.000000000
1694534667.492270,23000.000000000,16199.000000000
1694534667.503757,24000.000000000,4167.000000000
1694534667.518144,25000.000000000,5209.000000000
1694534667.529998,26000.000000000,14427.000000000
1694534667.545004,27000.000000000,3385.000000000
1694534667.558868,28000.000000000,15834.000000000
1694534667.573842,29000.000000000,4011.000000000
1694534667.587856,30000.000000000,5260.000000000
1694534667.604789,31000.000000000,3542.000000000
1694534667.618959,32000.000000000,4792.000000000
1694534667.636526,33000.000000000,3854.000000000
1694534667.650706,34000.000000000,4375.000000000
1694534667.667248,35000.000000000,5000.000000000
1694534667.682480,36000.000000000,3906.000000000
1694534667.698953,37000.000000000,4791.000000000
1694534667.713149,38000.000000000,3854.000000000
1694534667.726297,39000.000000000,3542.000000000
1694534667.741942,40000.000000000,3438.000000000
1694534667.757292,41000.000000000,3489.000000000
1694534667.773781,42000.000000000,3594.000000000
1694534667.790501,43000.000000000,3698.000000000
1694534667.809540,44000.000000000,3646.000000000
1694534667.825289,45000.000000000,3021.000000000
1694534667.844971,46000.000000000,2968.000000000
1694534667.858074,47000.000000000,3542.000000000
1694534667.874739,48000.000000000,4323.000000000
1694534667.895550,49000.000000000,3334.000000000
1694534667.910922,50000.000000000,3802.000000000
1694534667.925796,51000.000000000,4114.000000000
1694534667.941802,52000.000000000,3334.000000000
1694534667.956431,53000.000000000,2761.000000000
1694534667.974469,54000.000000000,2604.000000000
1694534667.991443,55000.000000000,3229.000000000
1694534668.011682,56000.000000000,3333.000000000
1694534668.029012,57000.000000000,3229.000000000
1694534668.048007,58000.000000000,2917.000000000
1694534668.064440,59000.000000000,3125.000000000
1694534668.084150,60000.000000000,2917.000000000
1694534668.102115,61000.000000000,6614.000000000
1694534668.121805,62000.000000000,3750.000000000
1694534668.139322,63000.000000000,3645.000000000
1694534668.165847,64000.000000000,3594.000000000
1694534668.174606,65000.000000000,3281.000000000
1694534668.194145,66000.000000000,3229.000000000
1694534668.215543,67000.000000000,3125.000000000
1694534668.232288,68000.000000000,2969.000000000
1694534668.253428,69000.000000000,3177.000000000
1694534668.271248,70000.000000000,3750.000000000
1694534668.289416,71000.000000000,3021.000000000
1694534668.310028,72000.000000000,2865.000000000
1694534668.327534,73000.000000000,3334.000000000
1694534668.346855,74000.000000000,3282.000000000
1694534668.362784,75000.000000000,3542.000000000
1694534668.382402,76000.000000000,2396.000000000
1694534668.400104,77000.000000000,3489.000000000
1694534668.420864,78000.000000000,3593.000000000
1694534668.438641,79000.000000000,3230.000000000
1694534668.459184,80000.000000000,2708.000000000
1694534668.476540,81000.000000000,3281.000000000
1694534668.497789,82000.000000000,2865.000000000
1694534668.515677,83000.000000000,3333.000000000
1694534668.534884,84000.000000000,3542.000000000
1694534668.555571,85000.000000000,3333.000000000
1694534668.572717,86000.000000000,3854.000000000
1694534668.591402,87000.000000000,3125.000000000
1694534668.609640,88000.000000000,3229.000000000
1694534668.628994,89000.000000000,3177.000000000
1694534668.647982,90000.000000000,3542.000000000
1694534668.667543,91000.000000000,3385.000000000
1694534668.686062,92000.000000000,3333.000000000
1694534668.705238,93000.000000000,3958.000000000
1694534668.727604,94000.000000000,3802.000000000
1694534668.742916,95000.000000000,3177.000000000
1694534668.762758,96000.000000000,3750.000000000
1694534668.783320,97000.000000000,4271.000000000
1694534668.801266,98000.000000000,3698.000000000
1694534668.820600,99000.000000000,3646.000000000
1694534668.839683,100000.000000000,4167.000000000
1694534668.858464,101000.000000000,4011.000000000
1694534668.876658,102000.000000000,3907.000000000
1694534668.895079,103000.000000000,3958.000000000
1694534668.913531,104000.000000000,3802.000000000
1694534668.932525,105000.000000000,3541.000000000
1694534668.953520,106000.000000000,4115.000000000
1694534668.970839,107000.000000000,3750.000000000
1694534668.993869,108000.000000000,3490.000000000
1694534669.008861,109000.000000000,3802.000000000
1694534669.028475,110000.000000000,4062.000000000
1694534669.048107,111000.000000000,8282.000000000
1694534669.066738,112000.000000000,3125.000000000
1694534669.085672,113000.000000000,3698.000000000
1694534669.105193,114000.000000000,3854.000000000
1694534669.124744,115000.000000000,3594.000000000
1694534669.144569,116000.000000000,3542.000000000
1694534669.164428,117000.000000000,3803.000000000
1694534669.184197,118000.000000000,3646.000000000
1694534669.204487,119000.000000000,3907.000000000
1694534669.224641,120000.000000000,3594.000000000
1694534669.244917,121000.000000000,3803.000000000
1694534669.265495,122000.000000000,3334.000000000
1694534669.286212,123000.000000000,3906.000000000
1694534669.305940,124000.000000000,3802.000000000
1694534669.327113,125000.000000000,3959.000000000
1694534669.349092,126000.000000000,3958.000000000
1694534669.368491,127000.000000000,3385.000000000
1694534669.389447,128000.000000000,4531.000000000
1694534669.410053,129000.000000000,3854.000000000
1694534669.431198,130000.000000000,3854.000000000
1694534669.453049,131000.000000000,3438.000000000
1694534669.472940,132000.000000000,3542.000000000
1694534669.494282,133000.000000000,4375.000000000
1694534669.515321,134000.000000000,3646.000000000
1694534669.536783,135000.000000000,3594.000000000
1694534669.558155,136000.000000000,3594.000000000
1694534669.580060,137000.000000000,3802.000000000
1694534669.602274,138000.000000000,4219.000000000
1694534669.622654,139000.000000000,3803.000000000
1694534669.644204,140000.000000000,3594.000000000
1694534669.666464,141000.000000000,3125.000000000
1694534669.687986,142000.000000000,3646.000000000
1694534669.709712,143000.000000000,3489.000000000
1694534669.732039,144000.000000000,3229.000000000
1694534669.754707,145000.000000000,3698.000000000
1694534669.775728,146000.000000000,3646.000000000
1694534669.797804,147000.000000000,4010.000000000
1694534669.821013,148000.000000000,4270.000000000
1694534669.842853,149000.000000000,3542.000000000
1694534669.865038,150000.000000000,3438.000000000
1694534669.888710,151000.000000000,3333.000000000
1694534669.910782,152000.000000000,3541.000000000
1694534669.932368,153000.000000000,3958.000000000
1694534669.956282,154000.000000000,4115.000000000
1694534669.977556,155000.000000000,3646.000000000
1694534670.001604,156000.000000000,3333.000000000
1694534670.023463,157000.000000000,3854.000000000
1694534670.047531,158000.000000000,4114.000000000
1694534670.069699,159000.000000000,4063.000000000
1694534670.094033,160000.000000000,3854.000000000
1694534670.115982,161000.000000000,8750.000000000
1694534670.139546,162000.000000000,4219.000000000
1694534670.163669,163000.000000000,3802.000000000
1694534670.187832,164000.000000000,3802.000000000
1694534670.210124,165000.000000000,3959.000000000
1694534670.234126,166000.000000000,4011.000000000
1694534670.258023,167000.000000000,4011.000000000
1694534670.281893,168000.000000000,4115.000000000
1694534670.306075,169000.000000000,3802.000000000
1694534670.330554,170000.000000000,3646.000000000
1694534670.353941,171000.000000000,3750.000000000
1694534670.377889,172000.000000000,3958.000000000
1694534670.402239,173000.000000000,4062.000000000
1694534670.426325,174000.000000000,3854.000000000
1694534670.452246,175000.000000000,3802.000000000
1694534670.475589,176000.000000000,3489.000000000
1694534670.500056,177000.000000000,3542.000000000
1694534670.524520,178000.000000000,3437.000000000
1694534670.549016,179000.000000000,3750.000000000
1694534670.573836,180000.000000000,3282.000000000
1694534670.599288,181000.000000000,3334.000000000
1694534670.624552,182000.000000000,3750.000000000
1694534670.648302,183000.000000000,3698.000000000
1694534670.673102,184000.000000000,4219.000000000
1694534670.698818,185000.000000000,3594.000000000
1694534670.724248,186000.000000000,3333.000000000
1694534670.759642,187000.000000000,3854.000000000
1694534670.775943,188000.000000000,4115.000000000
1694534670.800950,189000.000000000,3907.000000000
1694534670.827015,190000.000000000,4271.000000000
1694534670.853009,191000.000000000,4219.000000000
1694534670.878175,192000.000000000,3646.000000000
1694534670.904060,193000.000000000,4011.000000000
1694534670.930561,194000.000000000,3959.000000000
1694534670.955888,195000.000000000,3385.000000000
1694534670.982622,196000.000000000,3646.000000000
1694534671.008005,197000.000000000,3958.000000000
1694534671.038969,198000.000000000,3542.000000000
1694534671.060322,199000.000000000,3698.000000000
1694534671.087234,200000.000000000,4427.000000000
1694534671.113101,201000.000000000,3855.000000000
1694534671.140130,202000.000000000,3959.000000000
1694534671.166571,203000.000000000,3803.000000000
1694534671.193202,204000.000000000,3750.000000000
1694534671.220056,205000.000000000,4115.000000000
1694534671.246548,206000.000000000,3750.000000000
1694534671.273033,207000.000000000,4219.000000000
1694534671.300209,208000.000000000,3698.000000000
1694534671.328036,209000.000000000,3385.000000000
1694534671.356353,210000.000000000,3698.000000000
1694534671.381965,211000.000000000,7917.000000000
1694534671.409767,212000.000000000,3594.000000000
1694534671.441700,213000.000000000,3438.000000000
1694534671.467024,214000.000000000,4531.000000000
1694534671.492597,215000.000000000,4375.000000000
1694534671.520106,216000.000000000,3698.000000000
1694534671.547193,217000.000000000,3750.000000000
1694534671.575506,218000.000000000,3802.000000000
1694534671.602741,219000.000000000,4166.000000000
1694534671.631701,220000.000000000,3958.000000000
1694534671.659717,221000.000000000,3958.000000000
1694534671.687707,222000.000000000,3334.000000000
1694534671.716246,223000.000000000,4115.000000000
1694534671.744542,224000.000000000,3854.000000000
1694534671.772510,225000.000000000,4271.000000000
1694534671.802860,226000.000000000,4011.000000000
1694534671.829823,227000.000000000,4063.000000000
1694534671.858689,228000.000000000,3594.000000000
1694534671.886249,229000.000000000,3959.000000000
1694534671.915901,230000.000000000,3959.000000000
1694534671.944043,231000.000000000,4062.000000000
1694534671.973892,232000.000000000,4219.000000000
1694534672.004042,233000.000000000,3854.000000000
1694534672.031620,234000.000000000,3594.000000000
1694534672.061404,235000.000000000,3906.000000000
1694534672.090472,236000.000000000,4167.000000000
1694534672.120083,237000.000000000,3750.000000000
1694534672.149153,238000.000000000,3542.000000000
1694534672.179105,239000.000000000,4323.000000000
1694534672.208794,240000.000000000,3281.000000000
1694534672.238198,241000.000000000,4115.000000000
1694534672.267927,242000.000000000,3333.000000000
1694534672.298301,243000.000000000,3802.000000000
1694534672.327329,244000.000000000,3906.000000000
1694534672.357506,245000.000000000,4271.000000000
1694534672.387067,246000.000000000,3698.000000000
1694534672.418464,247000.000000000,4167.000000000
1694534672.447665,248000.000000000,4011.000000000
1694534672.477970,249000.000000000,3437.000000000
1694534672.511726,250000.000000000,3698.000000000
1694534672.538886,251000.000000000,3906.000000000
1694534672.569858,252000.000000000,3645.000000000
1694534672.599808,253000.000000000,3906.000000000
1694534672.631422,254000.000000000,3854.000000000
1694534672.661975,255000.000000000,3803.000000000
1694534672.693286,256000.000000000,4167.000000000
1694534672.723453,257000.000000000,4010.000000000
1694534672.754048,258000.000000000,3750.000000000
1694534672.784730,259000.000000000,4011.000000000
1694534672.816039,260000.000000000,4167.000000000
1694534672.847065,261000.000000000,8021.000000000
1694534672.878574,262000.000000000,3907.000000000
1694534672.910013,263000.000000000,4114.000000000
1694534672.943298,264000.000000000,4062.000000000
1694534672.985651,265000.000000000,3646.000000000
1694534673.005164,266000.000000000,4115.000000000
1694534673.048276,267000.000000000,4062.000000000
1694534673.068396,268000.000000000,3542.000000000
1694534673.100232,269000.000000000,3958.000000000
1694534673.134329,270000.000000000,4375.000000000
1694534673.164239,271000.000000000,3855.000000000
1694534673.196866,272000.000000000,3802.000000000
