__time,/count,/rtt
1694535795.987938,2000.000000000,787624.000000000
1694535796.000289,3000.000000000,1117841.000000000
1694535796.012631,4000.000000000,823823.000000000
1694535796.025087,5000.000000000,876064.000000000
1694535796.040895,6000.000000000,2969138.000000000
1694535796.051375,7000.000000000,403031.000000000
1694535796.067202,8000.000000000,3268468.000000000
1694535796.078640,9000.000000000,391104.000000000
1694535796.090350,10000.000000000,384489.000000000
1694535796.104581,11000.000000000,23230.000000000
1694535796.116737,12000.000000000,10469.000000000
1694535796.130398,13000.000000000,3802.000000000
1694535796.146688,14000.000000000,3334.000000000
1694535796.152146,15000.000000000,3437.000000000
1694535796.168868,16000.000000000,13490.000000000
1694535796.176247,17000.000000000,2968.000000000
1694535796.190433,18000.000000000,3281.000000000
1694535796.200235,19000.000000000,3593.000000000
1694535796.214701,20000.000000000,4323.000000000
1694535796.225817,21000.000000000,5000.000000000
1694535796.240545,22000.000000000,4896.000000000
1694535796.253976,23000.000000000,3177.000000000
1694535796.268057,24000.000000000,5156.000000000
1694535796.280058,25000.000000000,3750.000000000
1694535796.294747,26000.000000000,4323.000000000
1694535796.307371,27000.000000000,3802.000000000
1694535796.322668,28000.000000000,3959.000000000
1694535796.336594,29000.000000000,3542.000000000
1694535796.353896,30000.000000000,4271.000000000
1694535796.367484,31000.000000000,4896.000000000
1694535796.382567,32000.000000000,4062.000000000
1694535796.398351,33000.000000000,3646.000000000
1694535796.444855,34000.000000000,4427.000000000
1694535796.460178,35000.000000000,4532.000000000
1694535796.473041,36000.000000000,3177.000000000
1694535796.474879,37000.000000000,3854.000000000
1694535796.530645,38000.000000000,3490.000000000
1694535796.542512,39000.000000000,3490.000000000
1694535796.564595,40000.000000000,3073.000000000
1694535796.590040,41000.000000000,3177.000000000
1694535796.590411,42000.000000000,3959.000000000
1694535796.591066,43000.000000000,3333.000000000
1694535796.602134,44000.000000000,4219.000000000
1694535796.606640,45000.000000000,3698.000000000
1694535796.622033,46000.000000000,3229.000000000
1694535796.640231,47000.000000000,4740.000000000
1694535796.661326,48000.000000000,4167.000000000
1694535796.677839,49000.000000000,4636.000000000
1694535796.693399,50000.000000000,3385.000000000
1694535796.710919,51000.000000000,3282.000000000
1694535796.733118,52000.000000000,3437.000000000
1694535796.748211,53000.000000000,3438.000000000
1694535796.766144,54000.000000000,3021.000000000
1694535796.784527,55000.000000000,3958.000000000
1694535796.802906,56000.000000000,3541.000000000
1694535796.820889,57000.000000000,2969.000000000
1694535796.838632,58000.000000000,3906.000000000
1694535796.854650,59000.000000000,3542.000000000
1694535796.870377,60000.000000000,7500.000000000
1694535796.889474,61000.000000000,3490.000000000
1694535796.906039,62000.000000000,3229.000000000
1694535796.924163,63000.000000000,3542.000000000
1694535796.943294,64000.000000000,3438.000000000
1694535796.960712,65000.000000000,2656.000000000
1694535796.978622,66000.000000000,3229.000000000
1694535796.994752,67000.000000000,4323.000000000
1694535797.013066,68000.000000000,3594.000000000
1694535797.026747,69000.000000000,3959.000000000
1694535797.045304,70000.000000000,3751.000000000
1694535797.058402,71000.000000000,4063.000000000
1694535797.075479,72000.000000000,3907.000000000
1694535797.090813,73000.000000000,3385.000000000
